User_ID,Cause_of_Death,Last_Post_Time,Comment_Time,Relative_Elapsed_Time,Commenter_Name,Comment,Tree_Hole,Wailing_Wall,Not_Related,Comments_Split
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 00:36:46,0.0,月入百万田西西,反正都破罐破摔了，你不想再放肆地试试全糖的奶茶、火锅里的虾滑、蛋卷切得碎碎的肯德基冰淇淋、烧烤里的金针菇和抱着2升装的可乐喝到打嗝了吗？你再考虑一下，私信我，我都给你买，还有海王的电影票！我该你买IMAX大屏幕的！我自己都还没看过呢！,No,Yes,No,"反正,破罐破摔,你,不想,再,放肆,地,试试,全,糖,奶茶,火锅,里,虾滑,蛋卷,切,得,碎碎,肯德基冰淇淋,烧烤,里,金针菇,抱着,2升,装,可乐,喝到打嗝,你,再,考虑,一下,私信,我,我,你,买,还有,海王,电影票,我,该,你,买,IMAX,大屏幕,我自己,还没,看过"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 10:09:51,0.0,江宁婆婆,经过北京广州深圳三地警方艰苦工作，已经找到孤独风朋友的遗体。他选择了非常决绝的离开方式，没有给我们救援的机会。我必须再说一次，要正视抑郁症是一种疾病，及时就医治疗，绝大多数抑郁症是可以好转治愈的。愿天堂没有抑郁症。,No,Yes,No,"经过,北京,广州,深圳,三,地,警方,艰苦,工作,已经,找到,孤独,风,朋友,遗体,他,选择,非常,决绝,离开,方式,没有,我们,救援,机会,我,必须,再说,一次,正视,抑郁症,一种,疾病,及时,就医治疗,绝大多数,抑郁症,可以,好转,治愈,愿,天堂,没有,抑郁症,"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 01:27:57,0.0,江宁婆婆,北京方面已经迅速核实，他地址是瞎填的，人不是北京的，转评里的各位不要再艾特北京警方了。我在联系属地了，你们暂时不要再转评了，现在你们做不了什么。,No,No,Yes,"北京,方面,已经,迅速,核实,他,地址,瞎填,人,不是,北京,转,评,里,各位,不要,再,艾特,北京,警方,我,联系,属地,你们,暂时,不要,再,转,评,现在,你们,做不了,什么,"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 02:11:27,0.0,Farfetched__,我在深夜看见这条微博  泪流满面 我也是有抑郁症呢 我可以在众人面前大声的的放肆的笑 我可以用最真诚的语言安慰其他人 可是啊 我脸上笑得再用力心里都是苦涩 我安慰得了任何人唯独安慰不了我自己 坚持了四年  四年了呢 我不知道我会在什么时候就坚持不下去了 我更不知道我坚持不下去了会怎样,Yes,No,No,"我,深夜,看见,这条,微博, ,泪流满面,我,也是,抑郁症,我,可以,众人,面前,大声,放肆,笑,我,可以,用,最,真诚,语言,安慰,其他人,可是,我,脸上,笑,得,再,用力,心里,都是,苦涩,我,安慰,得了,任何人,唯独,安慰,不了,我自己,坚持,四年, ,四年,我,不知道,我,什么时候,坚持,下去,我,更,不知道,我,坚持,不下去,怎样"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 01:54:57,0.0,用户105902345623697,尽考虑死的事 一定是因为太过认真地活,Yes,No,No,"尽,考虑,死,事,一定,是因为,太过,认真,地,活"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 10:39:06,0.0,Lucifer_LXX,你变成了风，去旅行吧，成为风，愿你不再孤独了。,No,Yes,No,"你,变成,风,旅行,成为,风,愿,你,不再,孤独,"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 00:39:10,0.0,小栗琳酱w,最近一周都阴雨连绵 但昨天出现了好久不见的太阳 所以 我们再慢慢走下去好吗 有好多新奇的东西等着我们去探险呢,No,Yes,No,"最近一周,阴雨连绵,昨天,出现,好久不见,太阳,所以,我们,再,慢慢,走,下去,好吗,好多,新奇,东西,等着,我们,探险,"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 22:07:32,0.0,poison1025,评论里那么多善意的留言，可是我知道时间长了，所有人都会厌恶病人，用不耐烦的语气说着，你就是矫情。我承认自己矫情，我只是觉得活的累又不敢死罢了。,Yes,No,No,"评论,里,那么多,善意,留言,可是,我,知道,时间长,所有人,都会,厌恶,病人,用,不耐烦,语气,说着,你,就是,矫情,我,承认,自己,矫情,我,只是,觉得,活,累,不敢死,罢"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 01:27:07,0.0,我今年能开张吗,你来重庆我带你吃火锅，看重庆最美的夜景好不好,No,Yes,No,"你,重庆,我,带你,吃火锅,重庆,最美,夜景,好不好,"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 00:43:24,0.0,老天爷说我就是最厉害的哩,我们再认识一遍可好，即使我们从来没有认识过，你把你的故事说给我听，你说，我听着，我也会把我的故事讲给你听，请你喝奶茶好不好，加珍珠的那种可不可以,No,Yes,No,"我们,再认识,一遍,可好,即使,我们,从来没有,认识,过,你,把,你,故事,说,我,听,你,说,我,听着,我,把,我,故事,讲,你,听,请,你,喝,奶茶,好不好,加,珍珠,那种,可不可以"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 02:23:06,0.0,玺玺常欢喜,别呀，跨年夜我请你看电影吧，正好我也一个人。我们一起倒数，互相道新年快乐，我可以带你去吃我最喜欢的那家火锅，带你去我最喜欢的那个公园，还有我最好的朋友也可以介绍给你。,Yes,Yes,No,"别,跨年夜,我,请,你,看电影,正好,我,一个人,我们,一起,倒数,互相,道,新年,快乐,我,可以,带你,吃,我,最,喜欢,那家,火锅,带你,我,最,喜欢,那个,公园,还有,我,最好的,朋友,也可以,介绍,你,"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 02:10:47,0.0,立正稍息向右看齐z,真好啊，我想走也不敢走呢，不但不敢走，我还得祈祷我自己能活到孩子独当一面我才敢走，可是我觉得真的很累啊。,Yes,No,No,"真好,我,想,走,不敢走,不但,不敢,走,我,得,祈祷,我自己,活到,孩子,独当一面,我,才,敢,走,可是,我,觉得,真的,很累"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 14:13:38,0.0,失语留声机_,你自由了，真好,No,Yes,No,"你自由了,真好"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 12:12:58,0.0,鸥派薯條人,不用说对不起，是这个世界不够好。祝你去天堂的旅途顺利哦！到时候要给我介绍风景呢,No,Yes,No,"不用,说,对不起,这个,世界,不够,好,祝,你,去天堂,旅途,顺利,到时候,我,介绍,风景,"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 00:46:42,0.0,沦为,你都已经坚持了这么久了别放弃阿  撑住,No,Yes,No,"你,已经,坚持,这么,久,别,放弃,阿, ,撑住,"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 00:36:46,0.0,月入百万田西西,反正都破罐破摔了，你不想再放肆地试试全糖的奶茶、火锅里的虾滑、蛋卷切得碎碎的肯德基冰淇淋、烧烤里的金针菇和抱着2升装的可乐喝到打嗝了吗？你再考虑一下，私信我，我都给你买，还有海王的电影票！我该你买IMAX大屏幕的！我自己都还没看过呢！,Yes,Yes,No,"反正,破罐破摔,你,不想,再,放肆,地,试试,全,糖,奶茶,火锅,里,虾滑,蛋卷,切,得,碎碎,肯德基冰淇淋,烧烤,里,金针菇,抱着,2升,装,可乐,喝到打嗝,你,再,考虑,一下,私信,我,我,你,买,还有,海王,电影票,我,该,你,买,IMAX,大屏幕,我自己,还没,看过"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 10:09:51,0.0,江宁婆婆,经过北京广州深圳三地警方艰苦工作，已经找到孤独风朋友的遗体。他选择了非常决绝的离开方式，没有给我们救援的机会。我必须再说一次，要正视抑郁症是一种疾病，及时就医治疗，绝大多数抑郁症是可以好转治愈的。愿天堂没有抑郁症。,No,Yes,No,"经过,北京,广州,深圳,三,地,警方,艰苦,工作,已经,找到,孤独,风,朋友,遗体,他,选择,非常,决绝,离开,方式,没有,我们,救援,机会,我,必须,再说,一次,正视,抑郁症,一种,疾病,及时,就医治疗,绝大多数,抑郁症,可以,好转,治愈,愿,天堂,没有,抑郁症,"
旅行的孤独风,抑郁症/自杀,2018-12-12 23:59:00,2018-12-13 01:27:57,0.0,江宁婆婆,北京方面已经迅速核实，他地址是瞎填的，人不是北京的，转评里的各位不要再艾特北京警方了。我在联系属地了，你们暂时不要再转评了，现在你们做不了什么。,No,No,Yes,"北京,方面,已经,迅速,核实,他,地址,瞎填,人,不是,北京,转,评,里,各位,不要,再,艾特,北京,警方,我,联系,属地,你们,暂时,不要,再,转,评,现在,你们,做不了,什么,"
