User_ID,Cause_of_Death,Last_Post_Time,Comment_Time,Relative_Elapsed_Time,Commenter_Name,Comment,Tree_Hole,Wailing_Wall,Not_Related,Comments_Split
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2017-05-30 08:35:09,1900.0,呼呼呼小九,要是有个自杀树林就好了，每个人自己准备绳子，选择一棵喜欢的树，在阳光灿烂的下午，慢慢挣扎的死去。收尸人进来翻我的口袋，里面有遗书或家人联系电话，他会给我的妈妈打电话—“请问您是xx的妈妈吗？您的女儿刚刚自杀身亡，请过来处理后事”。,Yes,No,No,"要是,自杀,树林,就好,每个人,自己,准备,绳子,选择,一棵,喜欢,树,阳光灿烂,下午,慢慢,挣扎,死去,收尸,人,进来,翻,我,口袋,里面,遗书,或,家人,联系,电话,他,我,妈妈,打电话,—,“,请问,您,xx,妈妈,您,女儿,刚刚,自杀,身亡,请,过来,处理,后事,”"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2017-03-20 12:28:16,1829.0,想你想给你口,其实挺羡慕意外死亡的,Yes,No,No,"其实,挺,羡慕,意外,死亡,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2017-02-25 12:08:47,1806.0,猪头翼爱吃肉,看了一下任航的评论和转发，好多人对他说，下辈子做个无忧无虑的人。对抑郁症患者说下辈子，真的是非常残忍了。这辈子都坚持不下去了，为什么还要有下辈子。,No,Yes,No,",一下,任航,评论,转发,好多人,对,他,说,下辈子,做,无忧无虑,人,对,抑郁症,患者,说,下辈子,真的,非常,残忍,这辈子,坚持,下去,为什么,还要,下辈子"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2017-01-20 20:07:25,1770.0,青山遥也,容我择日疯，来年撞日死,Yes,No,No,"容,我,择日,疯,来年,撞,日,死"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2016-09-17 00:18:48,1644.0,半杯牛乳,饭，今天乔任梁走了呢，希望你们在同一个世界，那里没有病痛，有欢乐。会过的很开心,No,Yes,No,"饭,今天,乔任梁,走,希望,你们,同,一个,世界,那里,没有,病痛,欢乐,过,开心"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2018-08-03 06:21:14,2330.0,千里人归晚,被动出生 为了追求真正的自由 只有选择死亡,Yes,No,No,"被动,出生,为了,追求,真正,自由,只有,选择,死亡"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2017-08-14 18:06:27,1976.0,Fairy-Dand,我想做一只被一个人看见的鬼,Yes,No,No,"我,想,做,一只,被,一个人,看见,鬼"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2022-01-28 13:07:07,3604.0,Kellyowieb117,新年快乐姐姐,No,Yes,No,"新年,快乐,姐姐"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2021-07-22 17:21:29,3414.0,srydssb,伤害自己是我唯一的解决办法了,Yes,No,No,"伤害,自己,我,唯一,解决办法,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2021-09-05 00:00:03,3458.0,金色脚环,只有这个时间可以来了吗？所以，完全不明所以。,Yes,No,No,"只有,这个,时间,可以,来了,所以,完全,不明所以"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2017-11-23 23:44:33,2077.0,77ya_,今天看到三种颜色，想起小时候，难受,Yes,No,No,"今天,看到,三种,颜色,想起,小时候,难受"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2021-07-21 21:09:50,3413.0,全力以1998,活又活不好 死又不甘心,Yes,No,No,"活,活,不好,死,不甘心,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2021-07-22 07:24:43,3414.0,山茶和柠檬,世界上总有很多留不住的人。,Yes,No,No,"世界,上,总有,很多,留不住,人,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2018-04-29 14:51:30,2234.0,迷梦多巴胺,真的好希望现在是2012年，那一年的我不知道未来会发生这么多事，我会做错这么多事。,Yes,No,No,"真的好,希望,现在,2012年,那一年,我,不知道,未来,发生,这么多,事,我,做错,这么多,事,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2018-12-24 21:09:45,2473.0,抓到一只小夏儿,饭你知道你的大号被封了吗哈哈哈，这个世界多可笑，美好的人一心想把残破的人逼到角落，逼到那个阴雨霉湿之地，让他们永远无人问津哈哈哈哈哈哈哈，把所有的资源都抢走，连同树洞都给封了hhhh,No,Yes,No,"饭,你,知道,你,大号,被封,哈哈哈,这个,世界,多,可笑,美好,人,一心想,把,残破,人,逼,角落,逼,那个,阴雨,霉,湿,地,他们,永远,无人问津,哈哈,哈哈,哈哈哈,把,所有,资源,抢走,连同,树洞,封,hhhh"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2018-03-25 23:06:31,2199.0,tellmegoodbye_,像我这样莫名其妙的人，会有谁心疼。,Yes,No,No,"像,我,这样,莫名其妙,人,谁,心疼"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2018-07-01 05:43:20,2297.0,米老师二号机,你看有这么多生死不如的人都在羡慕你的果断。,No,Yes,No,"你,这么多,生死不如,人,羡慕,你,果断,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2020-02-22 19:09:11,2898.0,老冯爷万福金安,被删掉了吼，就没人记得了吼，我们依旧会报团吼,Yes,No,No,"被,删掉,吼,没人,记得,吼,我们,依旧,报团,吼,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2018-06-30 22:34:18,2296.0,Lareina-Dan,我们都好搞笑，每个通讯软件都有两个号，一个是留给别人，另一个留给自己。留给自己那个，希望有人关注，又希望没人会理……我好难过啊，是真的难过啊……,Yes,No,No,"我们,好,搞笑,每个,通讯软件,两个号,一个,留给,别人,另一个,留给,自己,留给,自己,那个,希望,有人,关注,希望,没人,会理,…,…,我,好,难过,真的,难过,…,…,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2019-04-12 17:43:01,2582.0,1996年6月初7,我是一名重度抑郁患者 我每天所面对的问题 就是告诉自己 我究竟能坚持到什么时候 我害怕去面对这些 前几天自杀被警察救了 最近我又有了这种想法,Yes,No,No,"我,一名,重度,抑郁,患者,我,每天,所,面对,问题,就是,告诉,自己,我,究竟,坚持,什么时候,我,害怕,面对,这些,前几天,自杀,被,警察,救,最近,我,又有,这种,想法"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2018-12-24 12:39:59,2473.0,VincentVegaiii,最想死的时候 连饭也被封了,Yes,No,No,"最,想死,时候,连,饭,被封"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2018-07-09 01:18:40,2305.0,Endlessly-,这阵子很少来你这里了，不是因为好起来了。发现不管是你的大号还是小号都多了很多新id。当初我刚来那会眼熟的号基本都不见了，不知道他们是好了离开你这个圈子还是已经病逝。我还在垂死地挣扎着啊，这条路没有尽头。,No,Yes,No,"这阵子,很少,你,这里,不是,因为,好起来,发现,不管是,你,大号,还是,小号,多,很多,新,id,当初,我,刚来,眼熟,号,基本,不见了,不知道,他们,好,离开,你,这个,圈子,还是,已经,病逝,我,还在,垂死,地,挣扎,这条路,没有,尽头,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2017-01-12 20:14:30,1762.0,耳东渔,下辈子请赐给我一个妈妈,Yes,No,No,"下辈子,请,赐给,我,一个,妈妈,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2021-09-27 01:30:31,3481.0,一只娇滴滴的熊,,No,No,Yes,
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2018-07-05 12:59:09,2301.0,Carolsn,饭，好累啊，快要倒下了。,Yes,Yes,No,"饭,好累,快要,倒下,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2018-06-28 20:52:05,2294.0,玛卡巴卡呀呀呼,交了一个男朋友，自己就是容易丧的，自己心情不好就跟他发脾气，他挺委屈的吧，说我对他不好，性格吧，可能我就不适合谈恋爱吧，,Yes,No,No,"交,一个,男,朋友,自己,就是,容易,丧,自己,心情不好,他,发脾气,他,挺,委屈,说,我,对,他,不好,性格,可能,我,不适合,谈恋爱,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2017-09-20 23:18:33,2013.0,芝士快跑,还以为上了大学 会好些的,Yes,No,No,",以为,上,大学,好些,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2018-12-31 19:54:13,2480.0,芝士蛋糕小助手,饭 我终于和那个他结婚了 他治好了我的抑郁症 我应该一段时间都不会来看你了 2019年了 新的一年 希望我们都好,Yes,Yes,No,"饭,我终于,那个他,结婚,他,治好,我,抑郁症,我,应该,一段时间,不会,来看你了,2019年,新的一年,希望,我们,好,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2020-06-07 00:27:05,3003.0,时煜不济,以后能不能，不管我喜欢什么人，都不会有人感到奇怪，即使那是个女孩子,Yes,No,No,"以后,能不能,不管,我,喜欢,什么人,不会,有人,感到,奇怪,即使,女,孩子"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2016-08-26 09:27:54,1623.0,程程小彭友,每天睡前想一下自己从高空下去然后得以入眠,Yes,No,No,"每天,睡前,想,一下,自己,高空,下去,然后,得以,入眠"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2021-07-20 22:16:45,3412.0,Endlessly-,死 需要很大的勇气  我没了勇气 但我仍然想死。,Yes,No,No,"死,需要,很大,勇气, ,我,没了,勇气,我,仍然,想死,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2017-02-11 01:52:04,1792.0,可可壹-,你也会莫名其妙突然痛哭吗,Yes,No,No,"你,莫名其妙,突然,痛哭,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2017-03-27 23:30:58,1836.0,一个不高兴的胡萝卜,下辈子 不想当人了,Yes,No,No,"下辈子,不想当,人"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2016-09-22 00:49:08,1649.0,没有活的很漂亮,晚安咯，因为失眠越来越严重，私自把医生开的药加大了剂量吃了，终于感觉到困了。,Yes,No,No,"晚安,因为,失眠,越来越,严重,私自,把,医生,开,药,加大,剂量,吃了,终于,感觉到,困,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2019-03-22 13:45:23,2561.0,路路路路路路向长,在知乎上看到话题 抑郁症患者的眼中的世界是什么样的 就像你在海里下沉  渐渐被淹没 周围的人都在呼吸  不 我不是的 有的时候我恨不得杀了所有人 都下地狱去吧 辣鸡,Yes,No,No,",知乎,上,看到,话题,抑郁症,患者,眼中,世界,什么样,就像,你,海里,下沉, ,渐渐,被,淹没,周围,人,呼吸, ,我,不是,有的时候,我,恨不得,杀,所有人,下,地狱,辣鸡,"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2021-07-21 21:05:00,3413.0,星辰大海很温柔,这个世界并不完美，但我们仍然可以疗愈自己。加油哦！,Yes,No,No,"这个,世界,并不,完美,我们,仍然可以,疗愈,自己,加油"
醒醒我们回家了-走饭小号,抑郁症/自杀,2012-03-17 00:51:00,2019-07-13 03:01:46,2674.0,Yeeloksoursad,我好像一直在为别人而活，我只知道去处理好人际关系，去迎合大家，回过头来，我才发现我根本不知道自己为什么而活着为什么她们可以活得这么自由自在，而我一直小心翼翼的活着，我害怕我的每句话会给大家带来伤害，怕她们不高兴，没想到第一次做人，竟然做的这么失败。老师 父母 同学 朋友 亦是如此。,Yes,No,No,"我,好像,一直,为,别人,而,活,我,只,知道,处理,好,人际关系,迎合,大家,回过头,我,才,发现,我,根本,不知道,自己,为什么,而,活着,为什么,她们,可以,活得,这么,自由,自在,而我,一直,小心翼翼,活着,我,害怕,我,每句话,大家,带来,伤害,怕,她们,不高兴,没想到,第一次,做人,竟然,做,这么,失败,老师,父母,同学,朋友,亦,如此"
