ID,Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
刘学州a,@,24,14,2,12,0,2,75.0
刘学州a,新京报,11,7,2,7,2,0,55.55555555555556
刘学州a,#,40,28,12,28,12,0,40.0
刘学州a,心,11,9,4,7,2,2,38.46153846153847
刘学州a,网暴,24,19,9,14,4,5,35.714285714285715
刘学州a,生活,21,14,8,13,7,1,27.27272727272727
刘学州a,美好,19,12,7,12,7,0,26.31578947368421
刘学州a,刘学州,36,25,17,19,11,6,19.047619047619047
刘学州a,生命,16,12,9,7,4,5,14.285714285714285
刘学州a,亲生,16,12,9,7,4,5,14.285714285714285
刘学州a,而,18,12,10,8,6,4,9.090909090909092
刘学州a,大家,16,8,7,6,5,2,6.666666666666667
刘学州a,什么,13,8,7,6,5,2,6.666666666666667
刘学州a,找到,13,8,7,4,3,4,6.666666666666667
