ID,Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
红烧土豆叶,学生,23,20,2,20,2,0,81.81818181818183
红烧土豆叶,导师,20,17,2,17,2,0,78.94736842105263
红烧土豆叶,大学,15,11,3,11,3,0,57.14285714285714
红烧土豆叶,这条,12,10,3,9,2,1,53.84615384615385
红烧土豆叶,论文,12,9,3,9,3,0,50.0
红烧土豆叶,读研,15,12,4,9,1,3,50.0
红烧土豆叶,就好,15,11,4,11,4,0,46.666666666666664
红烧土豆叶,评论,19,13,5,13,5,0,44.44444444444444
红烧土豆叶,事情,13,10,5,8,3,2,33.33333333333333
红烧土豆叶,毕业,35,23,12,22,11,1,31.428571428571427
红烧土豆叶,觉得,14,8,5,7,4,1,23.076923076923077
红烧土豆叶,老师,16,11,7,9,5,2,22.22222222222222
红烧土豆叶,她,18,11,7,11,7,0,22.22222222222222
红烧土豆叶,理解,11,9,6,5,2,4,20.0
红烧土豆叶,科研,12,6,4,5,3,1,20.0
红烧土豆叶,把,21,13,9,9,5,4,18.181818181818183
红烧土豆叶,孩子,21,13,9,12,8,1,18.181818181818183
红烧土豆叶,一点,17,10,7,10,7,0,17.647058823529413
红烧土豆叶,考上,11,7,5,6,4,1,16.666666666666664
红烧土豆叶,研究生,31,18,13,16,11,2,16.129032258064516
红烧土豆叶,现在,34,22,16,18,12,4,15.789473684210526
