ID,Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
头发有点儿杵脖子,风,15,1,14,1,14,0,86.66666666666667
头发有点儿杵脖子,漂亮,15,2,12,2,12,0,71.42857142857143
头发有点儿杵脖子,往,13,2,11,2,11,0,69.23076923076923
头发有点儿杵脖子,回来,17,4,16,1,13,3,60.0
头发有点儿杵脖子,今天,12,3,9,3,9,0,50.0
头发有点儿杵脖子,发,12,3,8,3,8,0,45.45454545454545
头发有点儿杵脖子,你,305,90,229,71,210,19,43.573667711598745
头发有点儿杵脖子,得,13,4,9,4,9,0,38.46153846153847
头发有点儿杵脖子,看到,14,4,9,3,8,1,38.46153846153847
头发有点儿杵脖子,下辈子,12,4,8,4,8,0,33.33333333333333
头发有点儿杵脖子,微博,22,7,14,6,13,1,33.33333333333333
头发有点儿杵脖子,快乐,28,11,21,6,16,5,31.25
头发有点儿杵脖子,一直,15,6,11,4,9,2,29.411764705882355
头发有点儿杵脖子,看看,15,5,9,5,9,0,28.57142857142857
头发有点儿杵脖子,美好,11,4,7,4,7,0,27.27272727272727
头发有点儿杵脖子,阿杵,43,18,30,13,25,5,25.0
头发有点儿杵脖子,希望,63,24,39,23,38,1,23.809523809523807
头发有点儿杵脖子,祝,17,8,12,4,8,4,20.0
头发有点儿杵脖子,选择,16,8,11,4,7,4,15.789473684210526
头发有点儿杵脖子,好,24,11,14,8,11,3,12.0
头发有点儿杵脖子,世界,33,15,19,13,17,2,11.76470588235294
头发有点儿杵脖子,可以,31,13,16,12,15,1,10.344827586206897
