ID,Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
玫瑰机关枪,想你,58,1,58,0,57,1,96.61016949152543
玫瑰机关枪,玫瑰,30,2,27,1,26,1,86.20689655172413
玫瑰机关枪,画,13,1,13,0,12,1,85.71428571428571
玫瑰机关枪,一直,12,1,12,0,11,1,84.61538461538461
玫瑰机关枪,姐姐,11,1,11,0,10,1,83.33333333333334
玫瑰机关枪,微博,15,1,10,1,10,0,81.81818181818183
玫瑰机关枪,你,201,21,199,2,180,19,80.9090909090909
玫瑰机关枪,一年,14,2,12,2,12,0,71.42857142857143
玫瑰机关枪,看到,11,2,11,0,9,2,69.23076923076923
玫瑰机关枪,已经,11,2,11,0,9,2,69.23076923076923
玫瑰机关枪,我们,24,4,22,2,20,2,69.23076923076923
玫瑰机关枪,代代,71,15,69,2,56,13,64.28571428571429
玫瑰机关枪,开心,17,4,17,0,13,4,61.904761904761905
玫瑰机关枪,想,12,3,12,0,9,3,60.0
玫瑰机关枪,爱,11,3,11,0,8,3,57.14285714285714
玫瑰机关枪,得,12,3,11,0,8,3,57.14285714285714
玫瑰机关枪,新年,18,5,18,0,13,5,56.52173913043478
玫瑰机关枪,快乐,26,7,25,1,19,6,56.25
玫瑰机关枪,希望,17,4,13,3,12,1,52.94117647058824
玫瑰机关枪,画画,12,4,11,1,8,3,46.666666666666664
玫瑰机关枪,现在,11,3,8,3,8,0,45.45454545454545
玫瑰机关枪,晚安,14,5,13,0,8,5,44.44444444444444
玫瑰机关枪,人,19,7,16,3,12,4,39.130434782608695
玫瑰机关枪,还是,16,6,13,3,10,3,36.84210526315789
