ID,Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
离灯_冬眠mode关闭失败,姐妹,22,3,19,2,18,1,72.72727272727273
离灯_冬眠mode关闭失败,方式,14,4,9,4,9,0,38.46153846153847
离灯_冬眠mode关闭失败,不知道,19,6,12,5,11,1,33.33333333333333
离灯_冬眠mode关闭失败,你,244,90,173,60,143,30,31.55893536121673
离灯_冬眠mode关闭失败,机,12,5,8,4,7,1,23.076923076923077
离灯_冬眠mode关闭失败,愿,12,6,9,3,6,3,20.0
离灯_冬眠mode关闭失败,可以,35,15,22,12,19,3,18.91891891891892
离灯_冬眠mode关闭失败,评论,14,3,4,1,2,2,14.285714285714285
离灯_冬眠mode关闭失败,打,27,11,14,10,13,1,12.0
离灯_冬眠mode关闭失败,看看,11,4,5,4,5,0,11.11111111111111
离灯_冬眠mode关闭失败,微博,23,12,15,6,9,6,11.11111111111111
离灯_冬眠mode关闭失败,别,13,5,6,5,6,0,9.090909090909092
离灯_冬眠mode关闭失败,离,17,11,13,4,6,7,8.333333333333332
