Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
不在  ,1,1,0,1,0,0,100.0
被试,1,1,0,1,0,0,100.0
这样子,1,0,1,0,1,0,100.0
Welcome,1,1,0,1,0,0,100.0
这条路,1,0,1,0,1,0,100.0
螺丝,1,1,0,1,0,0,100.0
蠢,1,1,0,1,0,0,100.0
行事,1,0,1,0,1,0,100.0
行动,1,1,0,1,0,0,100.0
You,1,1,0,1,0,0,100.0
行吗,1,0,1,0,1,0,100.0
这场,1,0,1,0,1,0,100.0
补助,1,1,0,1,0,0,100.0
表示,1,0,1,0,1,0,100.0
袜子,1,1,0,1,0,0,100.0
这几年,1,1,0,1,0,0,100.0
葬礼,1,0,1,0,1,0,100.0
一圈,1,1,0,1,0,0,100.0
这儿,1,0,1,0,1,0,100.0
这件事,1,0,1,0,1,0,100.0
菩萨摩诃萨,1,0,1,0,1,0,100.0
这些话,1,1,0,1,0,0,100.0
舞蹈,1,0,1,0,1,0,100.0
这片,1,0,1,0,1,0,100.0
舞蹈团,1,0,1,0,1,0,100.0
这段时间,1,0,1,0,1,0,100.0
这段,1,1,0,1,0,0,100.0
艹,1,0,1,0,1,0,100.0
这次,1,1,0,1,0,0,100.0
花都,1,0,1,0,1,0,100.0
葬礼  ,1,0,1,0,1,0,100.0
落泪,1,1,0,1,0,0,100.0
苟着,1,1,0,1,0,0,100.0
赶上,1,1,0,1,0,0,100.0
身边,1,0,1,0,1,0,100.0
身陷,1,1,0,1,0,0,100.0
身高,1,0,1,0,1,0,100.0
跟着,1,0,1,0,1,0,100.0
走后,1,0,1,0,1,0,100.0
跑出来,1,1,0,1,0,0,100.0
love,1,1,0,1,0,0,100.0
走掉,1,0,1,0,1,0,100.0
走过,1,0,1,0,1,0,100.0
走过来,1,1,0,1,0,0,100.0
走饭,1,0,1,0,1,0,100.0
赶,1,1,0,1,0,0,100.0
辛酸喜乐,1,0,1,0,1,0,100.0
md,1,1,0,1,0,0,100.0
诧异,1,0,1,0,1,0,100.0
输赢,1,1,0,1,0,0,100.0
起来,1,1,0,1,0,0,100.0
趁着,1,0,1,0,1,0,100.0
超级,1,0,1,0,1,0,100.0
超级舒服,1,1,0,1,0,0,100.0
超能力,1,0,1,0,1,0,100.0
po,1,1,0,1,0,0,100.0
越来越偏,1,1,0,1,0,0,100.0
越来越多,1,0,1,0,1,0,100.0
越来越远,1,1,0,1,0,0,100.0
趟,1,0,1,0,1,0,100.0
足够,1,0,1,0,1,0,100.0
碾压,1,0,1,0,1,0,100.0
苛刻,1,0,1,0,1,0,100.0
这样的话,1,1,0,1,0,0,100.0
祝福你,1,0,1,0,1,0,100.0
解决问题,1,1,0,1,0,0,100.0
要不,1,1,0,1,0,0,100.0
要不然,1,0,1,0,1,0,100.0
这么多次,1,0,1,0,1,0,100.0
一员,1,1,0,1,0,0,100.0
一名,1,0,1,0,1,0,100.0
balabala,1,1,0,1,0,0,100.0
b站,1,0,1,0,1,0,100.0
见过,1,1,0,1,0,0,100.0
见闻,1,0,1,0,1,0,100.0
见面,1,0,1,0,1,0,100.0
规定,1,0,1,0,1,0,100.0
视频,1,1,0,1,0,0,100.0
这个人,1,0,1,0,1,0,100.0
一口气,1,1,0,1,0,0,100.0
这么大,1,0,1,0,1,0,100.0
触动,1,0,1,0,1,0,100.0
言语,1,1,0,1,0,0,100.0
誓,1,1,0,1,0,0,100.0
care,1,1,0,1,0,0,100.0
一半,1,0,1,0,1,0,100.0
讨厌,1,1,0,1,0,0,100.0
碰见,1,0,1,0,1,0,100.0
躲过,1,1,0,1,0,0,100.0
碎碎念,1,0,1,0,1,0,100.0
炫耀,1,1,0,1,0,0,100.0
110,1,0,1,0,1,0,100.0
非读不可,1,1,0,1,0,0,100.0
点子,1,1,0,1,0,0,100.0
西部,1,0,1,0,1,0,100.0
一刹那,1,0,1,0,1,0,100.0
若,1,0,1,0,1,0,100.0
讲述,1,0,1,0,1,0,100.0
一堆,1,0,1,0,1,0,100.0
苦痛,1,0,1,0,1,0,100.0
这样的人,1,0,1,0,1,0,100.0
苦行僧,1,1,0,1,0,0,100.0
苦逼,1,0,1,0,1,0,100.0
草坪,1,0,1,0,1,0,100.0
草莓,1,0,1,0,1,0,100.0
莫,1,0,1,0,1,0,100.0
获奖,1,0,1,0,1,0,100.0
菊花,1,0,1,0,1,0,100.0
这些年,1,0,1,0,1,0,100.0
这一路,1,1,0,1,0,0,100.0
讲笑话,1,0,1,0,1,0,100.0
论,1,0,1,0,1,0,100.0
让给,1,0,1,0,1,0,100.0
一分钱,1,1,0,1,0,0,100.0
设备,1,0,1,0,1,0,100.0
设想,1,1,0,1,0,0,100.0
这一生,1,0,1,0,1,0,100.0
访问,1,0,1,0,1,0,100.0
证明,1,0,1,0,1,0,100.0
评价,1,0,1,0,1,0,100.0
这一年,1,0,1,0,1,0,100.0
一分钟,1,1,0,1,0,0,100.0
一位,1,1,0,1,0,0,100.0
该怎么办,1,0,1,0,1,0,100.0
该死,1,1,0,1,0,0,100.0
记不得,1,1,0,1,0,0,100.0
身段,1,0,1,0,1,0,100.0
身外之物,1,1,0,1,0,0,100.0
身处,1,0,1,0,1,0,100.0
一身,1,0,1,0,1,0,100.0
道坎,1,1,0,1,0,0,100.0
第一名,1,0,1,0,1,0,100.0
985,1,0,1,0,1,0,100.0
第一场,1,0,1,0,1,0,100.0
:,1,1,0,1,0,0,100.0
第一缕,1,0,1,0,1,0,100.0
第七天,1,0,1,0,1,0,100.0
第二,1,1,0,1,0,0,100.0
那一瞬间,1,1,0,1,0,0,100.0
第二天早上,1,0,1,0,1,0,100.0
第五天,1,0,1,0,1,0,100.0
遗言,1,0,1,0,1,0,100.0
@,1,1,0,1,0,0,100.0
等不到,1,0,1,0,1,0,100.0
约定,1,0,1,0,1,0,100.0
C座,1,0,1,0,1,0,100.0
道理,1,1,0,1,0,0,100.0
等等,1,0,1,0,1,0,100.0
答复,1,1,0,1,0,0,100.0
道歉,1,0,1,0,1,0,100.0
道德,1,0,1,0,1,0,100.0
这篇,1,0,1,0,1,0,100.0
This,1,0,1,0,1,0,100.0
调,1,0,1,0,1,0,100.0
调节,1,1,0,1,0,0,100.0
谈完,1,1,0,1,0,0,100.0
谢谢,1,0,1,0,1,0,100.0
谦卑,1,0,1,0,1,0,100.0
遇见,1,1,0,1,0,0,100.0
约,1,0,1,0,1,0,100.0
身体无恙,1,0,1,0,1,0,100.0
粘着,1,0,1,0,1,0,100.0
福报,1,0,1,0,1,0,100.0
七年,1,0,1,0,1,0,100.0
离你过去,1,0,1,0,1,0,100.0
都一样,1,1,0,1,0,0,100.0
私心,1,0,1,0,1,0,100.0
秋天,1,1,0,1,0,0,100.0
部门,1,1,0,1,0,0,100.0
部分,1,0,1,0,1,0,100.0
科研生,1,0,1,0,1,0,100.0
650分,1,1,0,1,0,0,100.0
舒心,1,1,0,1,0,0,100.0
8,1,0,1,0,1,0,100.0
算是,1,0,1,0,1,0,100.0
精力,1,1,0,1,0,0,100.0
红烧土豆叶,1,0,1,0,1,0,100.0
精彩,1,1,0,1,0,0,100.0
逼迫,1,1,0,1,0,0,100.0
逼疯,1,1,0,1,0,0,100.0
It,1,1,0,1,0,0,100.0
逝者,1,0,1,0,1,0,100.0
系,1,1,0,1,0,0,100.0
素不相识,1,0,1,0,1,0,100.0
素质,1,1,0,1,0,0,100.0
紧张,1,1,0,1,0,0,100.0
累了,1,0,1,0,1,0,100.0
繁华,1,0,1,0,1,0,100.0
一走了之,1,0,1,0,1,0,100.0
红烧,1,0,1,0,1,0,100.0
豆浆粉,1,1,0,1,0,0,100.0
象征性,1,1,0,1,0,0,100.0
豹子,1,0,1,0,1,0,100.0
ptsd,1,1,0,1,0,0,100.0
诸如,1,1,0,1,0,0,100.0
还好,1,0,1,0,1,0,100.0
读书,1,1,0,1,0,0,100.0
is,1,0,1,0,1,0,100.0
读博,1,1,0,1,0,0,100.0
一下下,1,0,1,0,1,0,100.0
过阵子,1,1,0,1,0,0,100.0
过程,1,1,0,1,0,0,100.0
一万,1,1,0,1,0,0,100.0
读硕士博士,1,1,0,1,0,0,100.0
这一个,1,1,0,1,0,0,100.0
走人,1,1,0,1,0,0,100.0
life,1,0,1,0,1,0,100.0
跨过,1,1,0,1,0,0,100.0
贡献,1,0,1,0,1,0,100.0
轻松,1,0,1,0,1,0,100.0
the,1,1,0,1,0,0,100.0
sucks,1,1,0,1,0,0,100.0
路边,1,1,0,1,0,0,100.0
sci,1,0,1,0,1,0,100.0
轻描淡写,1,0,1,0,1,0,100.0
跳到,1,0,1,0,1,0,100.0
跳桥自尽,1,0,1,0,1,0,100.0
蹲,1,0,1,0,1,0,100.0
转眼,1,0,1,0,1,0,100.0
re,1,1,0,1,0,0,100.0
身份,1,0,1,0,1,0,100.0
身体,1,1,0,1,0,0,100.0
gonna,1,1,0,1,0,0,100.0
一个月,1,1,0,1,0,0,100.0
fw,1,0,1,0,1,0,100.0
说话,1,1,0,1,0,0,100.0
world,1,1,0,1,0,0,100.0
责备,1,0,1,0,1,0,100.0
责怪,1,1,0,1,0,0,100.0
过来,1,0,1,0,1,0,100.0
账号,1,0,1,0,1,0,100.0
质量,1,1,0,1,0,0,100.0
贪念,1,0,1,0,1,0,100.0
贴吧,1,0,1,0,1,0,100.0
贸易战,1,0,1,0,1,0,100.0
it,1,1,0,1,0,0,100.0
赚钱,1,0,1,0,1,0,100.0
赞同,1,0,1,0,1,0,100.0
过你,1,0,1,0,1,0,100.0
过人,1,0,1,0,1,0,100.0
—,1,0,1,0,1,0,100.0
to,1,1,0,1,0,0,100.0
?,1,1,0,1,0,0,100.0
读硕士,1,1,0,1,0,0,100.0
cpr,1,1,0,1,0,0,100.0
说事,1,1,0,1,0,0,100.0
说些什么,1,1,0,1,0,0,100.0
一些,1,1,0,1,0,0,100.0
说什么时候,1,0,1,0,1,0,100.0
说好,1,0,1,0,1,0,100.0
说实话,1,1,0,1,0,0,100.0
说服,1,0,1,0,1,0,100.0
一事,1,1,0,1,0,0,100.0
非要,1,1,0,1,0,0,100.0
高血压,1,0,1,0,1,0,100.0
非得,1,1,0,1,0,0,100.0
真快,1,0,1,0,1,0,100.0
没用功,1,1,0,1,0,0,100.0
不允许,1,1,0,1,0,0,100.0
猫架,1,0,1,0,1,0,100.0
献,1,0,1,0,1,0,100.0
上研究生,1,0,1,0,1,0,100.0
银河,1,0,1,0,1,0,100.0
上报,1,0,1,0,1,0,100.0
铲屎官,1,0,1,0,1,0,100.0
校内,1,0,1,0,1,0,100.0
看起来,1,1,0,1,0,0,100.0
?,1,0,1,0,1,0,100.0
看轻,1,1,0,1,0,0,100.0
   加油,1,1,0,1,0,0,100.0
上学她,1,0,1,0,1,0,100.0
不戴眼镜,1,0,1,0,1,0,100.0
真棒,1,1,0,1,0,0,100.0
铁粉,1,0,1,0,1,0,100.0
钱,1,1,0,1,0,0,100.0
上个月,1,0,1,0,1,0,100.0
上进,1,0,1,0,1,0,100.0
销,1,1,0,1,0,0,100.0
看了看,1,1,0,1,0,0,100.0
看不清,1,0,1,0,1,0,100.0
框框,1,1,0,1,0,0,100.0
直达,1,1,0,1,0,0,100.0
镇,1,0,1,0,1,0,100.0
根本,1,1,0,1,0,0,100.0
根据,1,1,0,1,0,0,100.0
活动,1,0,1,0,1,0,100.0
不对,1,1,0,1,0,0,100.0
活路,1,0,1,0,1,0,100.0
没能力,1,1,0,1,0,0,100.0
预科,1,1,0,1,0,0,100.0
流泪,1,1,0,1,0,0,100.0
顶着,1,0,1,0,1,0,100.0
浇,1,0,1,0,1,0,100.0
