Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
我,580,425,193,375,143,50
你,308,110,230,72,192,38
我们,53,19,40,12,33,7
自己,52,44,11,41,8,3
真的,52,35,20,31,16,4
想,50,36,17,33,14,3
人,46,27,15,23,11,4
风,43,20,28,15,23,5
可以,42,18,26,15,23,3
再,41,22,14,20,12,2
世界,39,16,23,15,22,1
没有,38,16,23,15,22,1
说,37,21,16,19,14,2
活着,34,28,7,27,6,1
希望,33,11,24,7,20,4
这个,33,19,15,17,13,2
抑郁症,32,15,17,14,16,1
痛苦,31,23,10,21,8,2
走,30,23,11,19,7,4
现在,28,15,13,12,10,3
他,28,21,6,19,4,2
不知道,28,22,6,21,5,1
已经,28,10,19,6,15,4
如果,27,11,15,10,14,1
坚持,27,21,9,18,6,3
但是,25,15,12,12,9,3
离开,25,14,13,12,11,2
可是,25,22,5,20,3,2
还是,24,19,6,18,5,1
里,24,12,11,9,8,3
你们,23,10,5,10,5,0
一个,23,16,7,15,6,1
好,23,14,9,13,8,1
快乐,23,12,14,9,11,3
得,23,17,10,13,6,4
还有,22,7,18,4,15,3
觉得,22,19,4,17,2,2
她,22,17,4,17,4,0
朋友,22,7,15,4,12,3
都是,22,18,7,15,4,3
知道,21,14,9,11,6,3
就是,20,18,4,16,2,2
不要,20,4,8,4,8,0
最,20,16,10,10,4,6
下去,20,16,7,13,4,3
好不好,19,4,16,3,15,1
他们,19,14,3,13,2,1
生活,19,13,7,11,5,2
什么,19,13,3,13,3,0
微博,18,7,11,6,10,1
把,17,7,12,4,9,3
请,17,4,14,1,11,3
难过,17,13,3,13,3,0
喜欢,17,11,11,6,6,5
今天,16,14,5,11,2,3
北京,16,0,6,0,6,0
这样,15,11,6,8,3,3
解脱,15,8,9,6,7,2
活,15,13,2,13,2,0
地,15,9,7,8,6,1
一定,15,6,9,6,9,0
吃,15,3,13,1,11,2
愿,15,4,13,2,11,2
大家,14,8,5,8,5,0
抑郁,14,6,7,5,6,1
因为,13,9,4,9,4,0
一个人,13,10,6,7,3,3
所以,13,8,6,7,5,1
爱,13,12,3,10,1,2
感觉,13,13,1,12,0,1
死亡,13,10,2,10,2,0
别人,13,11,4,9,2,2
有人,13,11,2,11,2,0
开心,12,5,7,5,7,0
好像,12,10,3,9,2,1
别,12,4,9,2,7,2
安慰,12,12,1,11,0,1
带你,12,4,12,0,8,4
自杀,12,10,5,7,2,3
时候,12,9,4,8,3,1
可能,12,9,5,7,3,2
这么,12,7,5,7,5,0
也是,12,8,4,7,3,1
为什么,12,9,2,9,2,0
上,11,10,1,10,1,0
才,11,7,4,7,4,0
火锅,11,3,10,0,7,3
孤独,11,4,7,4,7,0
美好,11,3,8,3,8,0
我自己,11,9,3,8,2,1
来了,11,6,5,6,5,0
奶茶,11,4,8,2,6,2
其实,11,9,4,7,2,2
不会,11,7,4,7,4,0
好吗,11,1,10,1,10,0
不是,11,4,4,3,3,1
一直,11,9,5,6,2,3
死,10,8,2,8,2,0
听,10,3,9,1,7,2
变成,10,4,6,3,5,1
一样,10,6,5,5,4,1
看到,10,3,7,3,7,0
都会,10,8,2,8,2,0
只是,10,9,2,8,1,1
不能,10,8,0,8,0,0
还在,10,6,4,6,4,0
看看,10,2,8,2,8,0
方式,10,4,5,4,5,0
一起,10,5,6,3,4,2
选择,10,6,4,6,4,0
努力,9,7,2,7,2,0
事,9,8,1,8,1,0
比,9,5,5,4,4,1
每天,9,7,3,6,2,1
幸福,9,4,6,3,5,1
买,9,3,7,1,5,2
还好吗,9,1,9,0,8,1
多,9,4,4,4,4,0
不想,9,5,6,3,4,2
走饭,9,2,5,2,5,0
用,9,9,0,9,0,0
评论,9,5,1,5,1,0
怎么,9,6,2,6,2,0
下辈子,8,2,7,1,6,1
很多,8,3,5,3,5,0
笑,8,7,1,7,1,0
喝,8,3,5,2,4,1
好多,8,3,5,3,5,0
那么,8,3,6,2,5,1
光,8,8,2,6,0,2
感受,8,6,2,6,2,0
不敢,8,8,2,6,0,2
晚安,8,4,5,3,4,1
在那边,8,1,7,1,7,0
故事,8,3,7,1,5,2
不开心,8,5,3,5,3,0
一下,8,4,5,3,4,1
天堂,8,1,7,1,7,0
真好,8,3,5,3,5,0
非常,8,4,3,4,3,0
是不是,8,6,2,6,2,0
最近,8,5,5,3,3,2
一种,8,2,6,1,5,1
哭,8,8,0,8,0,0
怕,7,7,0,7,0,0
孩子,7,7,0,7,0,0
介绍,7,2,7,0,5,2
辛苦,7,3,4,3,4,0
陪,7,3,4,3,4,0
转,7,1,1,0,0,1
过去,7,7,0,7,0,0
对不起,7,3,4,3,4,0
好好的,7,4,5,2,3,2
谁,7,7,0,7,0,0
或许,7,5,3,4,2,1
一定要,7,1,7,0,6,1
自由,7,1,6,1,6,0
太难,7,6,1,6,1,0
等,7,4,4,3,3,1
吃火锅,7,0,7,0,7,0
下,7,3,4,3,4,0
日子,7,7,0,7,0,0
撑,7,6,1,6,1,0
与,7,6,2,5,1,1
羡慕,7,5,3,4,2,1
这里,7,2,4,1,3,1
人间,7,3,5,2,4,1
这条,7,4,3,4,3,0
更,7,5,1,5,1,0
成为,7,3,4,3,4,0
也许,7,7,4,3,0,4
像,7,4,5,2,3,2
那种,7,3,5,2,4,1
好累,7,7,1,6,0,1
新年,7,2,7,0,5,2
四年,7,7,0,7,0,0
样子,7,6,0,6,0,0
矫情,6,6,0,6,0,0
中,6,5,1,5,1,0
这种,6,6,0,6,0,0
装,6,2,5,1,4,1
为了,6,4,2,4,2,0
心,6,1,5,1,5,0
东西,6,3,3,3,3,0
不用,6,3,4,2,3,1
认识,6,1,6,0,5,1
也不,6,3,4,2,3,1
警方,6,0,3,0,3,0
勇气,6,5,2,4,1,1
真正,6,2,1,2,1,0
很难,6,1,5,1,5,0
原谅,6,4,2,4,2,0
很累,6,6,0,6,0,0
为,6,5,1,5,1,0
再说,6,3,4,2,3,1
讲,6,2,5,1,4,1
做不了,6,2,1,2,1,0
好吃,6,0,6,0,6,0
所有人,6,5,0,5,0,0
重庆,6,0,6,0,6,0
该,6,4,3,3,2,1
找到,6,1,5,1,5,0
等着,6,1,5,1,5,0
点,6,4,2,4,2,0
撑不住,6,5,1,5,1,0
好看,6,0,6,0,6,0
夏天,6,5,1,5,1,0
地方,6,0,6,0,6,0
难受,6,4,2,3,1,1
放肆,6,4,3,3,2,1
全,6,4,3,3,2,1
考虑,6,4,3,3,2,1
冬天,6,3,3,3,3,0
好好,6,5,1,5,1,0
所有,6,5,2,4,1,1
意义,6,5,2,4,1,1
祝,6,2,4,2,4,0
理解,6,4,1,4,1,0
以为,6,6,0,6,0,0
想要,6,2,4,2,4,0
那么多,6,4,2,3,1,1
不再,6,1,5,1,5,0
私信,6,1,5,0,4,1
药,6,6,1,5,0,1
伤害,6,6,0,6,0,0
慢慢,6,4,2,4,2,0
评,6,0,0,0,0,0
关注,5,4,2,3,1,1
即使,5,3,3,2,2,1
决绝,5,1,4,0,3,1
今年,5,3,3,2,2,1
也可以,5,2,5,0,3,2
只有,5,5,1,4,0,1
认真,5,4,1,4,1,0
工作,5,2,3,2,3,0
累,5,5,0,5,0,0
经历,5,4,1,4,1,0
终于,5,3,3,2,2,1
起来,5,3,2,3,2,0
加油,5,1,4,1,4,0
太多,5,4,3,2,1,2
还能,5,1,3,1,3,0
妈妈,5,5,0,5,0,0
就这样,5,2,3,2,3,0
什么时候,5,5,0,5,0,0
好想,5,4,1,4,1,0
出现,5,3,2,3,2,0
会好,5,2,3,2,3,0
看电影,5,2,5,0,3,2
这些,5,2,3,1,2,1
留言,5,4,1,4,1,0
患者,5,1,2,1,2,0
想法,5,4,2,3,1,1
不了,5,5,1,4,0,1
父母,5,5,1,4,0,1
熬,5,4,1,4,1,0
承受,5,5,0,5,0,0
折磨,5,4,2,3,1,1
海王,5,1,5,0,4,1
放弃,5,2,3,2,3,0
活到,5,5,0,5,0,0
陌生人,5,2,4,1,3,1
活下去,5,4,2,3,1,1
旅行,5,1,4,1,4,0
治愈,5,0,5,0,5,0
时间,5,4,1,4,1,0
是因为,5,5,2,3,0,2
永远,5,3,3,2,2,1
有什么,5,3,2,3,2,0
每一天,5,4,1,4,1,0
心里,5,4,1,4,1,0
挺,5,5,2,3,0,2
开始,5,4,3,2,1,2
两年,5,2,3,2,3,0
你好,4,2,2,2,2,0
抱着,4,2,3,1,2,1
可好,4,1,4,0,3,1
抱歉,4,3,2,2,1,1
太累,4,1,3,1,3,0
太阳,4,1,3,1,3,0
可不可以,4,2,3,1,2,1
等一等,4,1,3,1,3,0
一次,4,1,3,1,3,0
叫,4,3,1,3,1,0
重度,4,3,1,3,1,0
一点,4,2,2,2,2,0
一天,4,4,2,2,0,2
才能,4,4,0,4,0,0
热爱,4,4,0,4,0,0
只要,4,2,2,2,2,0
一遍,4,2,3,1,2,1
只能,4,4,0,4,0,0
到底,4,4,1,3,0,1
到时候,4,0,4,0,4,0
愿意,4,1,1,1,1,0
好起来,4,4,0,4,0,0
有时候,4,4,0,4,0,0
感同身受,4,2,3,1,2,1
久,4,0,4,0,4,0
很久,4,2,2,2,2,0
如此,4,3,1,3,1,0
先,4,3,1,3,1,0
善意,4,4,1,3,0,1
无法,4,3,1,3,1,0
这样的,4,4,1,3,0,1
既然,4,0,3,0,3,0
而,4,4,0,4,0,0
回来,4,2,2,2,2,0
”,4,4,0,4,0,0
脸上,4,4,0,4,0,0
阿,4,0,4,0,4,0
在哪里,4,1,3,1,3,0
相信,4,1,3,1,3,0
罢,4,4,0,4,0,0
挣扎,4,3,2,2,1,1
没人,4,3,1,3,1,0
撑住,4,0,4,0,4,0
后,4,2,2,2,2,0
结束,4,3,2,2,1,1
一件,4,3,1,3,1,0
经过,4,1,3,1,3,0
一切,4,2,2,2,2,0
接受,4,3,2,2,1,1
语言,4,4,0,4,0,0
多久,4,3,3,1,1,2
昨天,4,2,2,2,2,0
暂时,4,1,0,1,0,0
一起去,4,1,3,1,3,0
道,4,2,3,0,1,2
总,4,4,0,4,0,0
从来没有,4,2,3,1,2,1
想到,4,3,1,3,1,0
还没,4,1,4,0,3,1
眼泪,4,2,2,2,2,0
机会,4,1,3,1,3,0
虾滑,4,1,4,0,3,1
家人,4,3,3,1,1,2
怎样,4,3,0,3,0,0
那个,4,3,3,1,1,2
祈祷,4,4,0,4,0,0
及时,4,0,4,0,4,0
来世,4,1,3,1,3,0
厌恶,4,4,0,4,0,0
的人,4,2,2,2,2,0
必须,4,1,3,1,3,0
不敢死,4,4,1,3,0,1
讨厌,4,4,0,4,0,0
死了,4,4,0,4,0,0
反正,4,2,3,1,2,1
记得,4,3,2,2,1,1
病人,4,4,0,4,0,0
不住,4,3,1,3,1,0
互相,4,2,4,0,2,2
任何人,4,4,0,4,0,0
要开心,4,1,3,1,3,0
送,4,3,0,3,0,0
连,4,3,1,3,1,0
以前,4,4,0,4,0,0
以后,4,1,4,0,3,1
突然,4,4,0,4,0,0
脆弱,3,3,0,3,0,0
正常,3,1,2,1,2,0
唯独,3,3,0,3,0,0
没事,3,3,0,3,0,0
正视,3,0,3,0,3,0
带走,3,3,0,3,0,0
听到,3,3,0,3,0,0
厦门,3,0,3,0,3,0
没什么,3,2,2,1,1,1
看过,3,1,3,0,2,1
听着,3,1,3,0,2,1
能不能,3,0,3,0,3,0
时间长,3,3,0,3,0,0
梦见,3,3,0,3,0,0
正好,3,2,3,0,1,2
能够,3,2,1,2,1,0
自在,3,0,3,0,3,0
没能,3,2,1,2,1,0
正在,3,3,0,3,0,0
压,3,3,0,3,0,0
核实,3,0,0,0,0,0
只不过,3,3,0,3,0,0
来看你了,3,1,3,0,2,1
可乐,3,1,3,0,2,1
有病,3,3,0,3,0,0
看见,3,3,0,3,0,0
只,3,3,0,3,0,0
每次,3,3,1,2,0,1
平安,3,2,1,2,1,0
变得,3,3,1,2,0,1
旅途,3,0,3,0,3,0
最近一周,3,1,2,1,2,0
发,3,2,1,2,1,0
最美,3,0,3,0,3,0
虽然,3,1,2,1,2,0
最好的,3,2,3,0,1,2
未来,3,3,1,2,0,1
毕竟,3,3,0,3,0,0
去天堂,3,0,3,0,3,0
苦涩,3,3,0,3,0,0
曾经,3,3,0,3,0,0
可爱,3,0,3,0,3,0
蛋卷,3,1,3,0,2,1
见到,3,0,3,0,3,0
是什么,3,2,0,2,0,0
有没有,3,0,2,0,2,0
各位,3,0,0,0,0,0
艾特,3,0,0,0,0,0
艰苦,3,0,3,0,3,0
名字,3,3,1,2,0,1
衣服,3,2,1,2,1,0
来生,3,1,2,1,2,0
泪流满面,3,3,0,3,0,0
绝大多数,3,0,3,0,3,0
肯德基冰淇淋,3,1,3,0,2,1
然后,3,2,0,2,0,0
现实,3,3,0,3,0,0
独当一面,3,3,0,3,0,0
想死,3,3,1,2,0,1
穿,3,3,0,3,0,0
它,3,3,0,3,0,0
学校,3,2,1,2,1,0
想着,3,3,0,3,0,0
存在,3,3,0,3,0,0
强大,3,3,1,2,0,1
牵挂,3,3,2,1,0,2
意外,3,3,0,3,0,0
感受到,3,2,1,2,1,0
感情,3,3,0,3,0,0
好转,3,0,3,0,3,0
熬到,3,2,1,2,1,0
应该是,3,2,1,2,1,0
懂,3,0,3,0,3,0
当,3,1,1,1,1,0
珍珠,3,1,3,0,2,1
怎么样,3,2,1,2,1,0
就会,3,3,1,2,0,1
属地,3,0,0,0,0,0
真诚,3,3,0,3,0,0
尽,3,3,0,3,0,0
疾病,3,0,3,0,3,0
得了,3,3,0,3,0,0
就医治疗,3,0,3,0,3,0
就像,3,2,1,2,1,0
睡,3,3,0,3,0,0
用力,3,3,0,3,0,0
瞎填,3,0,0,0,0,0
留下,3,2,1,2,1,0
尊重,3,1,0,1,0,0
破罐破摔,3,1,3,0,2,1
电影票,3,1,3,0,2,1
碎碎,3,1,3,0,2,1
忘记,3,3,0,3,0,0
成都,3,0,3,0,3,0
烧烤,3,1,3,0,2,1
看医生,3,3,0,3,0,0
好久不见,3,1,2,1,2,0
撑着,3,2,1,2,1,0
坚强,3,3,0,3,0,0
并,3,0,3,0,3,0
救,3,3,0,3,0,0
地址,3,0,0,0,0,0
救援,3,0,3,0,3,0
敢,3,3,0,3,0,0
流,3,2,1,2,1,0
文章,3,2,1,2,1,0
回,3,0,3,0,3,0
新奇,3,1,2,1,2,0
聊聊天,3,0,3,0,3,0
喝到打嗝,3,1,3,0,2,1
真,3,2,1,2,1,0
带着,3,1,1,1,1,0
方面,3,0,0,0,0,0
联系,3,0,0,0,0,0
很快,3,2,1,2,1,0
探险,3,1,2,1,2,0
深圳,3,0,3,0,3,0
大概,3,2,0,2,0,0
打,3,1,1,1,1,0
找不到,3,2,1,2,1,0
承认,3,3,0,3,0,0
失去,3,2,1,2,1,0
广州,3,0,3,0,3,0
太过,3,3,0,3,0,0
天气,3,2,3,0,1,2
糖,3,1,3,0,2,1
深夜,3,3,0,3,0,0
大屏幕,3,1,3,0,2,1
大声,3,3,0,3,0,0
温柔,3,1,1,1,1,0
温暖,3,0,3,0,3,0
大,3,2,1,2,1,0
看着,3,2,0,2,0,0
夜景,3,0,3,0,3,0
?,3,0,3,0,3,0
回复,3,0,3,0,3,0
不下去,3,3,0,3,0,0
以,3,2,1,2,1,0
顺利,3,0,3,0,3,0
出来,3,2,1,2,1,0
一起走,3,3,0,3,0,0
一路走好,3,3,2,1,0,2
切,3,1,3,0,2,1
谢谢,3,3,1,2,0,1
不耐烦,3,3,0,3,0,0
试试,3,1,3,0,2,1
三,3,0,3,0,3,0
一段,3,3,0,3,0,0
面前,3,3,0,3,0,0
众人,3,3,0,3,0,0
伤心,3,1,2,1,2,0
公园,3,2,3,0,1,2
不敢走,3,3,0,3,0,0
前,3,2,0,2,0,0
那样,3,0,3,0,3,0
不懂,3,0,3,0,3,0
出去,3,2,3,0,1,2
迅速,3,0,0,0,0,0
遗体,3,0,3,0,3,0
说话,3,1,2,1,2,0
亲爱的,3,1,3,0,2,1
一场,3,2,1,2,1,0
人生,3,3,0,3,0,0
写,3,3,0,3,0,0
2升,3,1,3,0,2,1
还会,3,1,2,1,2,0
风景,3,0,3,0,3,0
再认识,3,1,3,0,2,1
说着,3,3,0,3,0,0
这辈子,3,2,2,1,1,1
IMAX,3,1,3,0,2,1
错,3,1,2,1,2,0
也有,3,2,1,2,1,0
其他人,3,3,0,3,0,0
也想,3,3,0,3,0,0
今晚,3,2,1,2,1,0
金针菇,3,1,3,0,2,1
语气,3,3,0,3,0,0
阴雨连绵,3,1,2,1,2,0
别走,3,1,2,1,2,0
跨年夜,3,2,3,0,1,2
來,3,0,3,0,3,0
走出来,3,0,3,0,3,0
加,3,1,3,0,2,1
包,3,0,3,0,3,0
倒数,3,2,3,0,1,2
那些,3,2,1,2,1,0
黑暗,3,3,0,3,0,0
下来,3,1,2,1,2,0
不够,3,0,3,0,3,0
跳下去,3,3,0,3,0,0
“,3,3,0,3,0,0
像是,3,3,0,3,0,0
佩服,3,3,2,1,0,2
不但,3,3,0,3,0,0
?,3,3,0,3,0,0
你自由了,3,0,3,0,3,0
那家,3,2,3,0,1,2
不到,3,2,1,2,1,0
新,2,0,2,0,2,0
