Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
我,364,296,106,248,58,48
你,244,90,173,60,143,30
自己,101,74,35,63,24,11
父母,85,54,26,48,20,6
游戏,84,43,34,39,30,4
人,84,59,28,51,20,8
她,73,46,14,44,12,2
他们,60,32,28,28,24,4
说,50,34,13,31,10,3
希望,48,25,27,17,19,8
没有,42,31,13,26,8,5
真的,41,26,14,23,11,3
一个,40,25,13,22,10,3
活着,40,25,16,23,14,2
觉得,38,28,14,24,10,4
可以,35,15,22,12,19,3
好,34,26,12,20,6,6
灯,33,28,19,14,5,14
自由,32,19,17,13,11,6
快乐,32,21,22,10,11,11
玩,30,15,15,14,14,1
如果,30,15,12,15,12,0
喜欢,29,19,14,15,10,4
不要,29,15,15,11,11,4
生活,29,19,16,13,10,6
想,29,17,13,15,11,2
“,29,17,16,13,12,4
”,29,17,16,13,12,4
孩子,29,22,9,20,7,2
人生,28,23,8,20,5,3
现在,27,18,12,14,8,4
还是,27,14,10,13,9,1
看到,27,15,12,11,8,4
打,27,11,14,10,13,1
已经,26,19,9,13,3,6
不是,25,19,6,17,4,2
结婚,25,24,0,24,0,0
我们,25,11,10,9,8,2
你们,24,13,10,13,10,0
但是,24,16,8,15,7,1
选择,24,14,10,14,10,0
这个,23,17,4,16,3,1
微博,23,12,15,6,9,6
把,23,14,10,12,8,2
因为,23,14,9,13,8,1
姐妹,22,3,19,2,18,1
今天,22,18,9,13,4,5
都是,20,10,8,9,7,1
世界,20,14,8,12,6,2
什么,20,16,6,13,3,3
工作,20,19,1,19,1,0
朋友,19,12,6,11,5,1
再,19,8,9,8,9,0
就是,19,15,4,15,4,0
不知道,19,6,12,5,11,1
自杀,19,12,6,12,6,0
他,19,16,2,16,2,0
痛苦,19,11,8,11,8,0
也是,19,17,3,16,2,1
还有,19,10,11,8,9,2
不会,19,11,9,10,8,1
一直,18,12,7,11,6,1
知道,18,10,9,9,8,1
不能,17,10,8,9,7,1
为什么,17,14,3,14,3,0
东西,17,12,4,11,3,1
才,17,15,2,15,2,0
上,17,13,4,12,3,1
离,17,11,13,4,6,7
一样,16,15,4,12,1,3
这样,16,10,6,10,6,0
开心,16,11,12,4,5,7
一定要,16,10,6,9,5,1
只是,15,13,5,10,2,3
时候,15,8,7,6,5,2
怎么,15,10,1,10,1,0
理解,15,11,4,11,4,0
评论,14,3,4,1,2,2
感觉,14,14,2,12,0,2
我妈,14,14,1,13,0,1
还在,14,9,3,7,1,2
方式,14,4,9,4,9,0
里,14,9,6,5,2,4
生命,13,7,3,7,3,0
别,13,5,6,5,6,0
多,13,11,3,10,2,1
大家,13,9,4,8,3,1
难过,13,10,2,10,2,0
为,13,9,2,8,1,1
走,13,7,6,6,5,1
可是,13,11,1,10,0,1
最后,13,6,6,5,5,1
博主,13,8,1,7,0,1
事,13,8,7,6,5,2
离开,12,7,6,5,4,2
还要,12,11,1,11,1,0
苏州,12,1,1,1,1,0
无法,12,6,4,4,2,2
机,12,5,8,4,7,1
更,12,7,5,5,3,2
一起,12,6,6,5,5,1
报警,12,1,0,1,0,0
一点,12,9,3,7,1,2
这种,12,9,4,7,2,2
愿,12,6,9,3,6,3
这条,12,7,7,4,4,3
别人,11,10,1,9,0,1
得,11,9,3,8,2,1
也不,11,8,4,7,3,1
所以,11,6,5,5,4,1
找,11,8,2,8,2,0
看看,11,4,5,4,5,0
想要,11,9,3,8,2,1
这样的,11,9,1,9,1,0
爱,11,6,3,6,3,0
事情,10,7,3,6,2,1
中,10,7,5,5,3,2
最,10,4,5,4,5,0
相亲,10,9,2,8,1,1
死了,10,7,4,5,2,2
一切,10,7,3,6,2,1
一些,10,9,0,9,0,0
连,10,9,1,9,1,0
天堂,10,3,10,0,7,3
那个,10,6,5,4,3,2
一定,10,4,6,4,6,0
开,10,7,8,2,3,5
