Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
我,410,402,89,321,8,81
你,91,80,41,50,11,30
自己,59,58,10,49,1,9
人,46,46,5,41,0,5
想,41,41,11,30,0,11
说,40,39,10,30,1,9
觉得,32,31,3,29,1,2
真的,29,28,6,23,1,5
没有,28,27,6,22,1,5
现在,27,27,3,24,0,3
他们,27,27,6,21,0,6
一个,26,26,7,19,0,7
世界,26,26,3,23,0,3
就是,22,22,3,19,0,3
快乐,21,19,11,10,2,9
好,21,19,4,17,2,2
这个,20,20,0,20,0,0
他,19,19,10,9,0,10
不知道,19,17,5,14,2,3
知道,18,18,6,12,0,6
活着,18,17,6,12,1,5
什么,17,17,3,14,0,3
开心,16,16,2,14,0,2
得,16,16,0,16,0,0
饭,16,13,14,2,3,11
为什么,16,16,1,15,0,1
可是,16,16,2,14,0,2
时候,16,14,2,14,2,0
生活,16,15,5,11,1,4
死,15,15,1,14,0,1
走,15,15,1,14,0,1
每天,15,14,2,13,1,1
别人,15,14,2,13,1,1
已经,14,14,3,11,0,3
抑郁症,14,14,1,13,0,1
宝宝,14,14,0,14,0,0
一样,14,11,5,9,3,2
今天,14,14,3,11,0,3
还是,14,14,4,10,0,4
喜欢,14,14,5,9,0,5
饭饭,14,11,14,0,3,11
把,14,14,1,13,0,1
她,13,13,0,13,0,0
也不,13,13,2,11,0,2
难过,13,13,0,13,0,0
那么,13,13,0,13,0,0
你们,13,13,5,8,0,5
如果,13,11,2,11,2,0
上,13,13,1,12,0,1
痛苦,13,13,2,11,0,2
希望,12,10,7,5,2,5
再,12,12,1,11,0,1
都是,12,12,2,10,0,2
这里,12,11,3,9,1,2
可能,12,12,4,8,0,4
可以,12,12,4,8,0,4
比,11,10,1,10,1,0
不想,11,11,2,9,0,2
抑郁,11,11,1,10,0,1
一直,11,11,0,11,0,0
爱,11,10,2,9,1,1
感觉,11,10,3,8,1,2
不要,11,11,4,7,0,4
朋友,11,11,1,10,0,1
哭,10,9,3,7,1,2
看到,10,10,1,9,0,1
一个人,10,10,2,8,0,2
走饭,10,10,6,4,0,6
想死,10,9,1,9,1,0
其实,10,10,3,7,0,3
自杀,10,10,2,8,0,2
这么,9,9,1,8,0,1
还有,9,9,2,7,0,2
“,9,9,1,8,0,1
以后,9,9,3,6,0,3
一定,9,9,4,5,0,4
怎么,9,9,2,7,0,2
开始,9,9,2,7,0,2
讨厌,9,9,1,8,0,1
