Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
我,381,360,37,340,17,20
你,122,79,48,69,38,10
自己,53,52,2,50,0,2
人,50,43,10,40,7,3
想,41,38,4,37,3,1
真的,29,27,3,26,2,1
如果,27,26,1,26,1,0
还是,27,23,7,20,4,3
好,25,23,4,21,2,2
说,25,20,9,16,5,4
希望,23,19,5,18,4,1
一个,21,18,3,18,3,0
没有,21,15,5,15,5,0
死,20,20,0,20,0,0
这个,20,16,5,15,4,1
我们,20,13,7,12,6,1
世界,19,13,6,12,5,1
怎么,19,18,1,17,0,1
他,18,17,2,16,1,1
上,18,11,5,11,5,0
可以,17,16,1,16,1,0
不会,17,17,1,16,0,1
难过,17,16,0,16,0,0
饭,17,11,10,5,4,6
现在,17,17,0,17,0,0
走,16,15,2,14,1,1
再,16,15,1,15,1,0
走饭,16,8,6,8,6,0
大家,16,14,2,14,2,0
生活,16,16,1,15,0,1
为什么,16,13,3,13,3,0
把,16,12,4,12,4,0
自杀,15,14,1,14,1,0
他们,15,6,9,6,9,0
朋友,15,14,1,13,0,1
爱,15,13,2,13,2,0
知道,15,11,4,11,4,0
饭饭,15,7,8,7,8,0
已经,15,11,3,11,3,0
就是,14,13,1,12,0,1
有人,14,13,1,13,1,0
觉得,13,11,2,10,1,1
什么,13,12,1,12,1,0
活着,13,13,1,12,0,1
连,13,9,3,9,3,0
怕,13,13,1,12,0,1
都是,13,13,0,13,0,0
就好,12,12,0,12,0,0
这么,12,10,2,10,2,0
你们,12,9,3,9,3,0
别人,12,11,1,11,1,0
今天,12,6,6,5,5,1
不知道,12,10,2,10,2,0
喜欢,12,12,1,11,0,1
事,12,11,1,11,1,0
好像,11,11,0,11,0,0
微博,11,6,6,5,5,1
不想,11,10,3,8,1,2
大号,11,3,5,3,5,0
时候,11,10,1,10,1,0
开心,11,8,3,8,3,0
可是,11,9,2,9,2,0
看到,10,9,1,9,1,0
评论,10,2,6,2,6,0
只是,10,9,1,9,1,0
想死,10,9,0,9,0,0
一,10,9,2,8,1,1
妈妈,10,10,0,10,0,0
回家,9,6,5,4,3,2
那么,9,8,1,8,1,0
真,9,5,1,5,1,0
每天,9,7,1,7,1,0
不是,9,7,3,6,2,1
哭,9,9,1,8,0,1
下辈子,8,3,5,3,5,0
很多,8,7,2,6,1,1
说话,8,7,2,6,1,1
一个人,8,8,1,7,0,1
里,8,5,1,5,1,0
得,8,7,1,7,1,0
也不,8,8,0,8,0,0
她,8,8,1,7,0,1
所以,8,8,0,8,0,0
还有,8,7,3,5,1,2
努力,7,7,0,7,0,0
不能,7,4,3,4,3,0
不要,7,7,0,7,0,0
最,7,7,0,7,0,0
好累,7,7,1,6,0,1
特别,7,7,0,7,0,0
死亡,7,7,0,7,0,0
离开,7,4,3,4,3,0
要是,7,7,0,7,0,0
感觉,7,7,1,6,0,1
抑郁,7,5,2,5,2,0
痛苦,7,7,0,7,0,0
明明,7,6,1,6,1,0
抑郁症,7,3,4,1,2,2
别,7,6,0,6,0,0
可能,6,6,0,6,0,0
钱,6,6,2,4,0,2
快乐,6,5,1,5,1,0
这样,6,4,2,4,2,0
像,6,6,0,6,0,0
还在,6,2,3,2,3,0
为,6,5,1,5,1,0
人生,6,6,0,6,0,0
那个,6,4,1,4,1,0
我自己,6,6,0,6,0,0
没人,6,6,0,6,0,0
永远,6,5,1,5,1,0
放弃,6,6,0,6,0,0
情绪,6,6,0,6,0,0
树洞,6,1,5,1,5,0
不开心,6,6,1,5,0,1
姑娘,6,6,0,6,0,0
也许,6,6,0,6,0,0
”,6,4,0,4,0,0
“,6,4,0,4,0,0
谁,6,5,0,5,0,0
只有,6,6,0,6,0,0
请,6,6,0,6,0,0
然后,6,6,0,6,0,0
害怕,6,6,0,6,0,0
因为,6,4,2,4,2,0
而,5,5,0,5,0,0
其实,5,5,0,5,0,0
还要,5,4,1,4,1,0
活,5,5,0,5,0,0
面对,5,5,0,5,0,0
怎么办,5,5,0,5,0,0
好想,5,5,0,5,0,0
想要,5,5,0,5,0,0
美好,5,4,1,4,1,0
挺,5,4,1,3,0,1
',5,0,0,0,0,0
羡慕,5,4,2,3,1,1
死去,5,5,0,5,0,0
当,5,5,0,5,0,0
小号,5,3,1,3,1,0
I,5,0,0,0,0,0
地,5,3,2,3,2,0
m,5,0,0,0,0,0
留言,5,4,1,4,1,0
黑暗,5,5,0,5,0,0
一直,5,5,0,5,0,0
越来越,5,4,1,4,1,0
为了,5,5,1,4,0,1
醒醒,5,3,3,2,2,1
就会,5,5,0,5,0,0
一点,5,5,1,4,0,1
下去,5,4,1,4,1,0
大概,5,5,0,5,0,0
重度,5,1,0,1,0,0
一样,5,3,1,3,1,0
意外,5,5,0,5,0,0
死了,5,5,0,5,0,0
莫名其妙,5,5,0,5,0,0
那些,5,5,0,5,0,0
中,5,5,0,5,0,0
用,4,4,1,3,0,1
恶心,4,3,0,3,0,0
患者,4,2,1,2,1,0
孩子,4,3,1,3,1,0
未来,4,3,1,3,1,0
爸妈,4,4,0,4,0,0
父母,4,4,0,4,0,0
扮演,4,4,0,4,0,0
开始,4,3,1,3,1,0
到底,4,4,0,4,0,0
所有,4,3,2,2,1,1
放过,4,4,1,3,0,1
但是,4,3,1,3,1,0
伤害,4,4,0,4,0,0
工作,4,3,2,2,1,1
崩溃,4,4,0,4,0,0
是不是,4,2,2,2,2,0
晚安,4,3,1,3,1,0
以后,4,3,1,3,1,0
最近,4,3,1,3,1,0
很想,4,4,0,4,0,0
想起,4,4,1,3,0,1
毕业,4,4,0,4,0,0
买,4,4,2,2,0,2
孤独,4,3,0,3,0,0
告诉,4,4,0,4,0,0
看着,4,4,0,4,0,0
只能,4,4,0,4,0,0
不用,4,3,1,3,1,0
发现,4,2,1,2,1,0
不敢,4,4,1,3,0,1
能够,4,4,0,4,0,0
自卑,4,4,0,4,0,0
不了,4,4,0,4,0,0
被封,4,1,3,1,3,0
只想,4,4,0,4,0,0
讨厌,4,4,1,3,0,1
记得,4,3,3,1,1,2
难,4,4,0,4,0,0
终于,4,4,1,3,0,1
回去,4,4,0,4,0,0
问题,4,4,0,4,0,0
问,4,4,0,4,0,0
吃,4,4,0,4,0,0
都会,4,4,0,4,0,0
多,4,2,3,1,2,1
这里,4,3,2,2,1,1
