Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
你,402,33,377,25,369,8
我,256,93,176,67,150,26
他,132,18,85,16,83,2
希望,69,12,52,12,52,0
你们,49,5,44,5,44,0
世界,47,13,34,12,33,1
人,45,22,23,20,21,2
一个,38,10,30,8,28,2
这个,37,12,21,11,20,1
玫瑰,37,2,36,1,35,1
真的,36,14,20,13,19,1
我们,36,4,29,2,27,2
朋友,36,4,19,3,18,1
自己,33,14,22,11,19,3
为,32,6,28,4,26,2
爱,31,10,25,6,21,4
刘学州,29,2,25,2,25,0
好,29,7,24,4,21,3
如果,28,3,22,2,21,1
可以,27,3,21,2,20,1
没有,27,8,18,8,18,0
看到,25,5,17,4,16,1
说,24,8,14,7,13,1
弟弟,23,1,22,1,22,0
想,23,9,13,8,12,1
不要,22,9,13,7,11,2
今天,22,4,18,4,18,0
去找,22,0,22,0,22,0
幸福,21,4,19,2,17,2
但是,21,8,12,7,11,1
孩子,21,9,12,8,11,1
活着,21,9,15,6,12,3
现在,21,6,13,4,11,2
照顾,21,0,21,0,21,0
一定,21,4,16,3,15,1
还是,20,6,14,5,13,1
微博,20,0,17,0,17,0
愿,19,2,18,1,17,1
一定要,19,2,14,1,13,1
记得,19,1,16,1,16,0
好好,19,5,14,5,14,0
关注,19,1,16,1,16,0
离开,18,4,14,4,14,0
年年,18,1,18,0,17,1
再,18,8,9,8,9,0
道森,18,0,16,0,16,0
大家,18,5,12,3,10,2
快乐,18,3,14,3,14,0
不知道,17,4,11,4,11,0
生活,17,8,12,5,9,3
因为,17,11,6,11,6,0
喜欢,17,4,12,4,12,0
?,17,1,16,1,16,0
一下,17,2,10,2,10,0
还有,17,4,13,3,12,1
已经,16,4,8,4,8,0
小鹿,16,3,12,3,12,0
也是,16,9,10,6,7,3
不会,16,7,12,4,9,3
一样,16,4,13,3,12,1
知道,16,6,8,5,7,1
很多,16,5,11,4,10,1
鹿道森,15,5,9,4,8,1
请,15,4,9,3,8,1
