ID,Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
头发有点儿杵脖子,痛苦,19,16,2,16,2,0,77.77777777777779
头发有点儿杵脖子,别人,18,12,2,12,2,0,71.42857142857143
头发有点儿杵脖子,你们,12,6,1,5,0,1,71.42857142857143
头发有点儿杵脖子,抑郁症,15,10,2,10,2,0,66.66666666666666
头发有点儿杵脖子,不想,12,9,2,9,2,0,63.63636363636363
头发有点儿杵脖子,自杀,13,8,2,8,2,0,60.0
头发有点儿杵脖子,不知道,15,11,3,11,3,0,57.14285714285714
头发有点儿杵脖子,大家,19,11,3,11,3,0,57.14285714285714
头发有点儿杵脖子,因为,19,15,5,13,3,2,50.0
头发有点儿杵脖子,人,45,28,11,26,9,2,43.58974358974359
头发有点儿杵脖子,什么,11,7,3,7,3,0,40.0
头发有点儿杵脖子,他,23,17,8,15,6,2,36.0
头发有点儿杵脖子,开心,13,10,5,8,3,2,33.33333333333333
头发有点儿杵脖子,时候,20,13,7,11,5,2,30.0
头发有点儿杵脖子,我,290,202,111,176,85,26,29.073482428115017
头发有点儿杵脖子,想,38,24,14,23,13,1,26.31578947368421
头发有点儿杵脖子,真的,16,10,6,9,5,1,25.0
头发有点儿杵脖子,里,16,10,6,9,5,1,25.0
头发有点儿杵脖子,生活,11,8,5,6,3,2,23.076923076923077
头发有点儿杵脖子,想要,14,9,6,8,5,1,20.0
头发有点儿杵脖子,再,18,10,7,10,7,0,17.647058823529413
头发有点儿杵脖子,爱,13,7,5,7,5,0,16.666666666666664
头发有点儿杵脖子,就是,16,8,6,8,6,0,14.285714285714285
头发有点儿杵脖子,现在,21,12,9,10,7,2,14.285714285714285
头发有点儿杵脖子,自己,39,21,16,21,16,0,13.513513513513514
头发有点儿杵脖子,把,15,9,7,7,5,2,12.5
