ID,Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
醒醒我们回家了-走饭小号,死,20,20,0,20,0,0,100.0
醒醒我们回家了-走饭小号,就好,12,12,0,12,0,0,100.0
醒醒我们回家了-走饭小号,现在,17,17,0,17,0,0,100.0
醒醒我们回家了-走饭小号,难过,17,16,0,16,0,0,100.0
醒醒我们回家了-走饭小号,好像,11,11,0,11,0,0,100.0
醒醒我们回家了-走饭小号,都是,13,13,0,13,0,0,100.0
醒醒我们回家了-走饭小号,自己,53,52,2,50,0,2,92.5925925925926
醒醒我们回家了-走饭小号,如果,27,26,1,26,1,0,92.5925925925926
醒醒我们回家了-走饭小号,怎么,19,18,1,17,0,1,89.47368421052632
醒醒我们回家了-走饭小号,不会,17,17,1,16,0,1,88.88888888888889
醒醒我们回家了-走饭小号,生活,16,16,1,15,0,1,88.23529411764706
醒醒我们回家了-走饭小号,可以,17,16,1,16,1,0,88.23529411764706
醒醒我们回家了-走饭小号,再,16,15,1,15,1,0,87.5
醒醒我们回家了-走饭小号,自杀,15,14,1,14,1,0,86.66666666666667
醒醒我们回家了-走饭小号,朋友,15,14,1,13,0,1,86.66666666666667
醒醒我们回家了-走饭小号,活着,13,13,1,12,0,1,85.71428571428571
醒醒我们回家了-走饭小号,有人,14,13,1,13,1,0,85.71428571428571
醒醒我们回家了-走饭小号,就是,14,13,1,12,0,1,85.71428571428571
醒醒我们回家了-走饭小号,怕,13,13,1,12,0,1,85.71428571428571
醒醒我们回家了-走饭小号,什么,13,12,1,12,1,0,84.61538461538461
醒醒我们回家了-走饭小号,喜欢,12,12,1,11,0,1,84.61538461538461
醒醒我们回家了-走饭小号,别人,12,11,1,11,1,0,83.33333333333334
醒醒我们回家了-走饭小号,事,12,11,1,11,1,0,83.33333333333334
醒醒我们回家了-走饭小号,时候,11,10,1,10,1,0,81.81818181818183
醒醒我们回家了-走饭小号,我,381,360,37,340,17,20,81.36020151133502
醒醒我们回家了-走饭小号,想,41,38,4,37,3,1,80.95238095238095
醒醒我们回家了-走饭小号,真的,29,27,3,26,2,1,80.0
醒醒我们回家了-走饭小号,他,18,17,2,16,1,1,78.94736842105263
醒醒我们回家了-走饭小号,走,16,15,2,14,1,1,76.47058823529412
醒醒我们回家了-走饭小号,大家,16,14,2,14,2,0,75.0
醒醒我们回家了-走饭小号,爱,15,13,2,13,2,0,73.33333333333333
醒醒我们回家了-走饭小号,一个,21,18,3,18,3,0,71.42857142857143
醒醒我们回家了-走饭小号,好,25,23,4,21,2,2,70.37037037037037
醒醒我们回家了-走饭小号,觉得,13,11,2,10,1,1,69.23076923076923
醒醒我们回家了-走饭小号,这么,12,10,2,10,2,0,66.66666666666666
醒醒我们回家了-走饭小号,不知道,12,10,2,10,2,0,66.66666666666666
醒醒我们回家了-走饭小号,可是,11,9,2,9,2,0,63.63636363636363
醒醒我们回家了-走饭小号,为什么,16,13,3,13,3,0,62.5
醒醒我们回家了-走饭小号,人,50,43,10,40,7,3,62.264150943396224
醒醒我们回家了-走饭小号,希望,23,19,5,18,4,1,58.333333333333336
醒醒我们回家了-走饭小号,已经,15,11,3,11,3,0,57.14285714285714
醒醒我们回家了-走饭小号,不想,11,10,3,8,1,2,53.84615384615385
