ID,Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
红烧土豆叶,猫咪,35,1,34,1,34,0,94.28571428571428
红烧土豆叶,下辈子,25,2,24,1,23,1,84.61538461538461
红烧土豆叶,小,25,2,23,2,23,0,84.0
红烧土豆叶,同学,13,1,11,1,11,0,83.33333333333334
红烧土豆叶,昔书,32,3,29,2,28,1,81.25
红烧土豆叶,一只,30,4,27,3,26,1,74.19354838709677
红烧土豆叶,你,354,50,316,32,298,18,72.6775956284153
红烧土豆叶,温柔,11,2,10,1,9,1,66.66666666666666
红烧土豆叶,活着,11,2,9,2,9,0,63.63636363636363
红烧土豆叶,一定,26,5,22,4,21,1,62.96296296296296
红烧土豆叶,愿,16,3,13,3,13,0,62.5
红烧土豆叶,离开,14,3,12,2,11,1,60.0
红烧土豆叶,坚持,14,3,12,2,11,1,60.0
红烧土豆叶,如果,39,9,33,6,30,3,57.14285714285714
红烧土豆叶,猫,24,6,21,3,18,3,55.55555555555556
红烧土豆叶,微博,19,5,17,2,14,3,54.54545454545454
红烧土豆叶,写,11,3,9,2,8,1,50.0
红烧土豆叶,可以,25,7,20,5,18,2,48.14814814814815
红烧土豆叶,看到,42,13,35,7,29,6,45.83333333333333
红烧土豆叶,今天,20,6,16,4,14,2,45.45454545454545
红烧土豆叶,点,14,3,8,3,8,0,45.45454545454545
红烧土豆叶,”,13,4,10,3,9,1,42.85714285714285
红烧土豆叶,一个,34,10,25,8,23,2,42.85714285714285
红烧土豆叶,“,13,4,10,3,9,1,42.85714285714285
红烧土豆叶,哭,11,4,9,2,7,2,38.46153846153847
红烧土豆叶,世界,14,5,11,3,9,2,37.5
红烧土豆叶,你们,12,4,8,3,7,1,33.33333333333333
红烧土豆叶,不要,12,4,8,4,8,0,33.33333333333333
红烧土豆叶,再,14,5,10,4,9,1,33.33333333333333
红烧土豆叶,虽然,11,4,8,3,7,1,33.33333333333333
红烧土豆叶,一下,12,4,8,4,8,0,33.33333333333333
红烧土豆叶,但是,21,9,17,4,12,5,30.76923076923077
红烧土豆叶,得,19,7,13,6,12,1,30.0
红烧土豆叶,多,18,7,13,5,11,2,30.0
红烧土豆叶,我们,68,27,50,18,41,9,29.87012987012987
红烧土豆叶,走,16,6,11,4,9,2,29.411764705882355
红烧土豆叶,他们,15,5,9,4,8,1,28.57142857142857
红烧土豆叶,地,11,4,7,4,7,0,27.27272727272727
红烧土豆叶,记得,11,4,7,4,7,0,27.27272727272727
红烧土豆叶,为,16,7,12,3,8,4,26.31578947368421
红烧土豆叶,知道,17,7,12,3,8,4,26.31578947368421
红烧土豆叶,希望,62,25,42,17,34,8,25.37313432835821
红烧土豆叶,人,55,21,34,19,32,2,23.63636363636364
红烧土豆叶,成为,13,5,8,5,8,0,23.07692307692308
红烧土豆叶,那么,11,5,8,3,6,2,23.07692307692308
红烧土豆叶,时候,39,16,25,13,22,3,21.951219512195124
红烧土豆叶,上,18,8,12,6,10,2,20.0
红烧土豆叶,因为,14,6,9,5,8,1,20.0
红烧土豆叶,还在,18,8,12,6,10,2,20.0
红烧土豆叶,很多,17,7,10,7,10,0,17.647058823529413
红烧土豆叶,这么,16,7,10,6,9,1,17.647058823529413
红烧土豆叶,什么,16,7,10,6,9,1,17.647058823529413
红烧土豆叶,绝望,13,5,7,5,7,0,16.666666666666664
红烧土豆叶,感同身受,11,5,7,4,6,1,16.666666666666664
鹿道森,小,15,0,15,0,15,0,100.0
鹿道森,联系,12,0,2,0,2,0,100.0
鹿道森,作品,12,0,12,0,12,0,100.0
鹿道森,照顾,21,0,21,0,21,0,100.0
鹿道森,微博,20,0,17,0,17,0,100.0
鹿道森,道森,18,0,16,0,16,0,100.0
鹿道森,杭州,11,0,6,0,6,0,100.0
鹿道森,遇到,14,0,13,0,13,0,100.0
鹿道森,在那边,14,0,14,0,14,0,100.0
鹿道森,叫,15,0,15,0,15,0,100.0
鹿道森,舟山,15,0,8,0,8,0,100.0
鹿道森,去找,22,0,22,0,22,0,100.0
鹿道森,弟弟,23,1,22,1,22,0,91.30434782608695
鹿道森,玫瑰,37,2,36,1,35,1,89.47368421052632
鹿道森,年年,18,1,18,0,17,1,89.47368421052632
鹿道森,?,17,1,16,1,16,0,88.23529411764706
鹿道森,关注,19,1,16,1,16,0,88.23529411764706
鹿道森,记得,19,1,16,1,16,0,88.23529411764706
鹿道森,这么,15,1,13,1,13,0,85.71428571428571
鹿道森,刘学州,29,2,25,2,25,0,85.18518518518519
鹿道森,你,402,33,377,25,369,8,83.90243902439025
鹿道森,互相,12,1,11,1,11,0,83.33333333333334
鹿道森,那么,11,1,10,1,10,0,81.81818181818183
鹿道森,好好的,11,1,10,1,10,0,81.81818181818183
鹿道森,愿,19,2,18,1,17,1,80.0
鹿道森,多,12,1,9,1,9,0,80.0
鹿道森,你们,49,5,44,5,44,0,79.59183673469387
鹿道森,如果,28,3,22,2,21,1,76.0
鹿道森,我们,36,4,29,2,27,2,75.75757575757575
鹿道森,温柔,15,2,14,1,13,1,75.0
鹿道森,可以,27,3,21,2,20,1,75.0
鹿道森,一定要,19,2,14,1,13,1,75.0
鹿道森,找到,12,1,6,1,6,0,71.42857142857143
鹿道森,拍,13,2,11,2,11,0,69.23076923076923
鹿道森,美好,12,2,11,1,10,1,69.23076923076923
鹿道森,摄影,11,2,10,1,9,1,66.66666666666666
鹿道森,一下,17,2,10,2,10,0,66.66666666666666
鹿道森,朋友,36,4,19,3,18,1,65.21739130434783
鹿道森,幸福,21,4,19,2,17,2,65.21739130434783
鹿道森,他,132,18,85,16,83,2,65.0485436893204
鹿道森,快乐,18,3,14,3,14,0,64.70588235294117
鹿道森,为,32,6,28,4,26,2,64.70588235294117
鹿道森,平安,11,2,9,1,8,1,63.63636363636363
鹿道森,一起,11,2,9,2,9,0,63.63636363636363
鹿道森,今天,22,4,18,4,18,0,63.63636363636363
鹿道森,希望,69,12,52,12,52,0,62.5
鹿道森,一定,21,4,16,3,15,1,60.0
鹿道森,小鹿,16,3,12,3,12,0,60.0
鹿道森,离开,18,4,14,4,14,0,55.55555555555556
鹿道森,好,29,7,24,4,21,3,54.83870967741935
鹿道森,看到,25,5,17,4,16,1,54.54545454545454
鹿道森,永远,12,3,10,2,9,1,53.84615384615385
鹿道森,还有,17,4,13,3,12,1,52.94117647058824
鹿道森,一样,16,4,13,3,12,1,52.94117647058824
鹿道森,喜欢,17,4,12,4,12,0,50.0
鹿道森,一个,38,10,30,8,28,2,50.0
鹿道森,时候,15,4,12,3,11,1,50.0
鹿道森,把,11,3,9,2,8,1,50.0
鹿道森,好好,19,5,14,5,14,0,47.368421052631575
