ID,Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
十里清禾w,愿,14,1,13,1,13,0,85.71428571428571
十里清禾w,陪,11,1,11,0,10,1,83.33333333333334
十里清禾w,这么,11,2,11,0,9,2,69.23076923076923
十里清禾w,可爱,11,2,11,0,9,2,69.23076923076923
十里清禾w,这样,14,3,14,0,11,3,64.70588235294117
十里清禾w,开心,14,3,13,1,11,2,62.5
十里清禾w,喜欢,25,6,22,3,19,3,57.14285714285714
十里清禾w,你,302,86,295,7,216,79,54.85564304461942
十里清禾w,下辈子,15,5,15,0,10,5,50.0
十里清禾w,他们,16,4,12,4,12,0,50.0
十里清禾w,小,27,9,25,2,18,7,47.05882352941176
十里清禾w,最,14,4,11,3,10,1,46.666666666666664
十里清禾w,欣欣,16,6,16,0,10,6,45.45454545454545
十里清禾w,在那边,13,5,13,0,8,5,44.44444444444444
十里清禾w,一直,14,5,13,1,9,4,44.44444444444444
十里清禾w,姐姐,20,8,20,0,12,8,42.857142857142854
十里清禾w,成为,12,5,12,0,7,5,41.17647058823529
十里清禾w,一定,21,8,19,2,13,6,40.74074074074074
十里清禾w,可以,17,6,14,3,11,3,40.0
十里清禾w,那么,12,4,9,3,8,1,38.46153846153847
十里清禾w,看到,17,6,13,4,11,2,36.84210526315789
十里清禾w,温柔,37,15,32,5,22,10,36.17021276595745
十里清禾w,快乐,45,19,39,6,26,13,34.48275862068966
十里清禾w,老师,18,8,16,2,10,6,33.33333333333333
十里清禾w,事情,17,7,14,3,10,4,33.33333333333333
十里清禾w,得,14,6,12,2,8,4,33.33333333333333
十里清禾w,妹妹,73,31,62,10,41,21,33.33333333333333
十里清禾w,善良,12,6,11,1,6,5,29.411764705882355
十里清禾w,一个,22,10,18,4,12,6,28.57142857142857
十里清禾w,上,11,5,9,2,6,3,28.57142857142857
十里清禾w,好好,18,10,17,1,8,9,25.925925925925924
十里清禾w,美好,25,12,20,5,13,7,25.0
十里清禾w,晚安,41,24,39,2,17,22,23.809523809523807
十里清禾w,没有,27,13,21,6,14,7,23.52941176470588
十里清禾w,宝贝,19,12,19,0,7,12,22.58064516129032
十里清禾w,想,31,14,22,8,16,6,22.22222222222222
十里清禾w,我们,26,14,22,4,12,10,22.22222222222222
十里清禾w,她,17,9,14,3,8,6,21.73913043478261
十里清禾w,真的,15,9,14,1,6,8,21.73913043478261
十里清禾w,现在,26,15,23,3,11,12,21.052631578947366
十里清禾w,微博,14,9,13,1,5,8,18.181818181818183
十里清禾w,不是,17,9,13,4,8,5,18.181818181818183
十里清禾w,把,12,6,8,3,5,3,14.285714285714285
十里清禾w,生活,11,7,9,2,4,5,12.5
