ID,Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
旅行的孤独风,北京,16,0,6,0,6,0,100.0
旅行的孤独风,好吗,11,1,10,1,10,0,81.81818181818183
旅行的孤独风,吃,15,3,13,1,11,2,62.5
旅行的孤独风,好不好,19,4,16,3,15,1,60.0
旅行的孤独风,请,17,4,14,1,11,3,55.55555555555556
旅行的孤独风,火锅,11,3,10,0,7,3,53.84615384615385
旅行的孤独风,愿,15,4,13,2,11,2,52.94117647058824
旅行的孤独风,带你,12,4,12,0,8,4,50.0
旅行的孤独风,美好,11,3,8,3,8,0,45.45454545454545
旅行的孤独风,还有,22,7,18,4,15,3,44.0
旅行的孤独风,别,12,4,9,2,7,2,38.46153846153847
旅行的孤独风,希望,33,11,24,7,20,4,37.142857142857146
旅行的孤独风,朋友,22,7,15,4,12,3,36.36363636363637
旅行的孤独风,我们,53,19,40,12,33,7,35.59322033898305
旅行的孤独风,你,308,110,230,72,192,38,35.294117647058826
旅行的孤独风,不要,20,4,8,4,8,0,33.33333333333333
旅行的孤独风,奶茶,11,4,8,2,6,2,33.33333333333333
旅行的孤独风,已经,28,10,19,6,15,4,31.03448275862069
旅行的孤独风,孤独,11,4,7,4,7,0,27.27272727272727
旅行的孤独风,把,17,7,12,4,9,3,26.31578947368421
旅行的孤独风,微博,18,7,11,6,10,1,22.22222222222222
旅行的孤独风,一定,15,6,9,6,9,0,20.0
旅行的孤独风,可以,42,18,26,15,23,3,18.181818181818183
旅行的孤独风,没有,38,16,23,15,22,1,17.94871794871795
