ID,Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
鸡蛋姬,永远,11,0,11,0,11,0,100.0
鸡蛋姬,一路走好,33,0,33,0,33,0,100.0
鸡蛋姬,认识,15,0,15,0,15,0,100.0
鸡蛋姬,方式,13,0,13,0,13,0,100.0
鸡蛋姬,小姐姐,12,0,12,0,12,0,100.0
鸡蛋姬,天堂,15,0,15,0,15,0,100.0
鸡蛋姬,不是,15,0,15,0,15,0,100.0
鸡蛋姬,自由,11,0,11,0,11,0,100.0
鸡蛋姬,优秀,11,0,11,0,11,0,100.0
鸡蛋姬,没有,22,1,22,0,21,1,91.30434782608695
鸡蛋姬,下辈子,20,1,20,0,19,1,90.47619047619048
鸡蛋姬,开心,18,1,18,0,17,1,89.47368421052632
鸡蛋姬,漂亮,30,2,30,0,28,2,87.5
鸡蛋姬,姐姐,59,4,58,1,55,3,87.09677419354838
鸡蛋姬,快乐,27,2,27,0,25,2,86.20689655172413
鸡蛋姬,幸福,26,2,26,0,24,2,85.71428571428571
鸡蛋姬,愿,26,2,26,0,24,2,85.71428571428571
鸡蛋姬,来世,12,1,12,0,11,1,84.61538461538461
鸡蛋姬,妹妹,12,1,12,0,11,1,84.61538461538461
鸡蛋姬,世界,36,3,34,2,33,1,83.78378378378379
鸡蛋姬,好看,12,1,11,1,11,0,83.33333333333334
鸡蛋姬,可以,11,1,11,0,10,1,83.33333333333334
鸡蛋姬,你,276,28,274,2,248,26,81.45695364238411
鸡蛋姬,还是,17,2,17,0,15,2,78.94736842105263
鸡蛋姬,希望,51,6,49,2,45,4,78.18181818181819
鸡蛋姬,我们,17,2,16,1,15,1,77.77777777777779
鸡蛋姬,在那边,15,2,15,0,13,2,76.47058823529412
鸡蛋姬,自己,21,3,20,1,18,2,73.91304347826086
鸡蛋姬,再,14,2,12,2,12,0,71.42857142857143
鸡蛋姬,染,13,2,12,1,11,1,71.42857142857143
鸡蛋姬,粉色,51,9,48,3,42,6,68.42105263157895
鸡蛋姬,人,21,4,20,1,17,3,66.66666666666666
鸡蛋姬,头发,37,7,35,2,30,5,66.66666666666666
鸡蛋姬,这个,21,4,19,2,17,2,65.21739130434783
