ID,Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
鹿道森,小,15,0,15,0,15,0,100.0
鹿道森,联系,12,0,2,0,2,0,100.0
鹿道森,作品,12,0,12,0,12,0,100.0
鹿道森,照顾,21,0,21,0,21,0,100.0
鹿道森,微博,20,0,17,0,17,0,100.0
鹿道森,道森,18,0,16,0,16,0,100.0
鹿道森,杭州,11,0,6,0,6,0,100.0
鹿道森,遇到,14,0,13,0,13,0,100.0
鹿道森,在那边,14,0,14,0,14,0,100.0
鹿道森,叫,15,0,15,0,15,0,100.0
鹿道森,舟山,15,0,8,0,8,0,100.0
鹿道森,去找,22,0,22,0,22,0,100.0
鹿道森,弟弟,23,1,22,1,22,0,91.30434782608695
鹿道森,玫瑰,37,2,36,1,35,1,89.47368421052632
鹿道森,年年,18,1,18,0,17,1,89.47368421052632
鹿道森,?,17,1,16,1,16,0,88.23529411764706
鹿道森,关注,19,1,16,1,16,0,88.23529411764706
鹿道森,记得,19,1,16,1,16,0,88.23529411764706
鹿道森,这么,15,1,13,1,13,0,85.71428571428571
鹿道森,刘学州,29,2,25,2,25,0,85.18518518518519
鹿道森,你,402,33,377,25,369,8,83.90243902439025
鹿道森,互相,12,1,11,1,11,0,83.33333333333334
鹿道森,那么,11,1,10,1,10,0,81.81818181818183
鹿道森,好好的,11,1,10,1,10,0,81.81818181818183
鹿道森,愿,19,2,18,1,17,1,80.0
鹿道森,多,12,1,9,1,9,0,80.0
鹿道森,你们,49,5,44,5,44,0,79.59183673469387
鹿道森,如果,28,3,22,2,21,1,76.0
鹿道森,我们,36,4,29,2,27,2,75.75757575757575
鹿道森,温柔,15,2,14,1,13,1,75.0
鹿道森,可以,27,3,21,2,20,1,75.0
鹿道森,一定要,19,2,14,1,13,1,75.0
鹿道森,找到,12,1,6,1,6,0,71.42857142857143
鹿道森,拍,13,2,11,2,11,0,69.23076923076923
鹿道森,美好,12,2,11,1,10,1,69.23076923076923
鹿道森,摄影,11,2,10,1,9,1,66.66666666666666
鹿道森,一下,17,2,10,2,10,0,66.66666666666666
鹿道森,朋友,36,4,19,3,18,1,65.21739130434783
鹿道森,幸福,21,4,19,2,17,2,65.21739130434783
鹿道森,他,132,18,85,16,83,2,65.0485436893204
鹿道森,快乐,18,3,14,3,14,0,64.70588235294117
鹿道森,为,32,6,28,4,26,2,64.70588235294117
鹿道森,平安,11,2,9,1,8,1,63.63636363636363
鹿道森,一起,11,2,9,2,9,0,63.63636363636363
鹿道森,今天,22,4,18,4,18,0,63.63636363636363
鹿道森,希望,69,12,52,12,52,0,62.5
鹿道森,一定,21,4,16,3,15,1,60.0
鹿道森,小鹿,16,3,12,3,12,0,60.0
鹿道森,离开,18,4,14,4,14,0,55.55555555555556
鹿道森,好,29,7,24,4,21,3,54.83870967741935
鹿道森,看到,25,5,17,4,16,1,54.54545454545454
鹿道森,永远,12,3,10,2,9,1,53.84615384615385
鹿道森,还有,17,4,13,3,12,1,52.94117647058824
鹿道森,一样,16,4,13,3,12,1,52.94117647058824
鹿道森,喜欢,17,4,12,4,12,0,50.0
鹿道森,一个,38,10,30,8,28,2,50.0
鹿道森,时候,15,4,12,3,11,1,50.0
鹿道森,把,11,3,9,2,8,1,50.0
鹿道森,好好,19,5,14,5,14,0,47.368421052631575
鹿道森,不知道,17,4,11,4,11,0,46.666666666666664
鹿道森,温暖,11,3,8,3,8,0,45.45454545454545
鹿道森,世界,47,13,34,12,33,1,44.680851063829785
鹿道森,爱,31,10,25,6,21,4,42.857142857142854
鹿道森,大家,18,5,12,3,10,2,41.17647058823529
鹿道森,上,12,3,7,3,7,0,40.0
鹿道森,用,11,3,7,3,7,0,40.0
鹿道森,还是,20,6,14,5,13,1,40.0
鹿道森,没有,27,8,18,8,18,0,38.46153846153847
鹿道森,请,15,4,9,3,8,1,38.46153846153847
鹿道森,很多,16,5,11,4,10,1,37.5
鹿道森,现在,21,6,13,4,11,2,36.84210526315789
鹿道森,已经,16,4,8,4,8,0,33.33333333333333
