Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
你,517,86,487,30,431,56
我,225,100,177,46,123,54
他,106,67,66,32,31,35
人,80,47,52,27,32,20
孩子,76,39,56,15,32,24
一个,63,37,40,23,26,14
希望,52,20,37,14,31,6
父母,51,32,31,20,19,12
自己,50,25,35,15,25,10
我们,50,22,39,11,28,11
弟弟,43,9,38,4,33,5
州州,43,11,39,4,32,7
#,40,28,12,28,12,0
爱,38,13,31,7,25,6
说,36,15,25,10,20,5
刘学州,36,25,17,19,11,6
为,33,14,22,10,18,4
好,33,12,28,5,21,7
一定,33,5,29,4,28,1
他们,31,5,28,3,26,2
今天,31,9,30,1,22,8
可以,31,11,21,8,18,3
这个,30,12,20,6,14,6
没有,30,14,21,9,16,5
已经,27,5,23,3,21,2
现在,25,3,22,2,21,1
把,25,8,18,6,16,2
活着,25,11,22,3,14,8
人生,25,10,15,9,14,1
@,24,14,2,12,0,2
网暴,24,19,9,14,4,5
不要,24,8,19,4,15,4
愿,24,9,16,8,15,1
好好,23,7,22,1,16,6
如果,23,8,21,2,15,6
那些,22,14,15,7,8,7
世界,22,7,20,2,15,5
真的,21,9,17,4,12,5
生活,21,14,8,13,7,1
看到,21,6,15,6,15,0
你们,20,14,13,7,6,7
还是,20,6,19,1,14,5
美好,19,12,7,12,7,0
三亚,19,4,9,2,7,2
里,19,11,10,9,8,2
不会,18,7,15,2,10,5
有人,18,3,13,3,13,0
再,18,1,17,0,16,1
而,18,12,10,8,6,4
一定要,17,3,14,2,13,1
走,17,5,16,1,12,4
还有,17,7,13,3,9,4
就是,17,8,12,4,8,4
上,17,5,15,2,12,3
大家,16,8,7,6,5,2
不是,16,9,10,6,7,3
生命,16,12,9,7,4,5
幸福,16,7,11,5,9,2
亲生,16,12,9,7,4,5
都是,15,8,12,3,7,5
因为,15,3,12,3,12,0
与,15,9,8,7,6,2
那么,15,10,13,2,5,8
关注,15,7,12,2,7,5
快乐,14,4,11,3,10,1
姐姐,14,1,12,1,12,0
怎么,14,8,9,4,5,4
想,14,7,11,3,7,4
多,13,6,11,2,7,4
什么,13,8,7,6,5,2
人间,13,6,10,3,7,3
才,13,4,10,3,9,1
热搜,13,6,8,3,5,3
宝贝,13,1,13,0,12,1
找到,13,8,7,4,3,4
老师,13,8,10,3,5,5
但是,13,5,12,0,7,5
“,13,4,10,3,9,1
”,13,4,10,3,9,1
哭,13,6,11,2,7,4
微博,13,3,8,3,8,0
很多,12,3,10,2,9,1
为什么,12,7,8,4,5,3
惩罚,12,2,11,1,10,1
自杀,12,4,8,3,7,1
阿姨,12,5,12,0,7,5
善良,11,4,8,3,7,1
?,11,3,10,1,8,2
学州,11,2,10,1,9,1
离开,11,0,11,0,11,0
时候,11,8,8,3,3,5
新京报,11,7,2,7,2,0
心,11,9,4,7,2,2
不知道,10,3,8,1,6,2
时,10,3,7,3,7,0
受到,10,3,9,1,7,2
所以,10,6,8,2,4,4
做傻事,10,4,10,0,6,4
温暖,10,0,10,0,10,0
岁月,10,9,1,9,1,0
生,10,6,8,2,4,4
事,10,6,5,5,4,1
别,10,5,9,1,5,4
难过,10,3,9,1,7,2
这么,10,7,7,3,3,4
