Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
你,302,86,295,7,216,79
我,261,171,195,65,89,106
妹妹,73,31,62,10,41,21
世界,48,28,34,14,20,14
希望,47,29,35,12,18,17
快乐,45,19,39,6,26,13
晚安,41,24,39,2,17,22
人,38,27,19,19,11,8
温柔,37,15,32,5,22,10
今天,34,25,27,7,9,18
好,32,21,21,11,11,10
想,31,14,22,8,16,6
自己,30,18,18,12,12,6
没有,27,13,21,6,14,7
这个,27,18,17,10,9,8
小,27,9,25,2,18,7
现在,26,15,23,3,11,12
我们,26,14,22,4,12,10
喜欢,25,6,22,3,19,3
美好,25,12,20,5,13,7
如果,24,15,19,5,9,10
但是,22,13,16,6,9,7
一个,22,10,18,4,12,6
一定,21,8,19,2,13,6
姐姐,20,8,20,0,12,8
宝贝,19,12,19,0,7,12
老师,18,8,16,2,10,6
好好,18,10,17,1,8,9
她,17,9,14,3,8,6
事情,17,7,14,3,10,4
看到,17,6,13,4,11,2
可以,17,6,14,3,11,3
不是,17,9,13,4,8,5
他们,16,4,12,4,12,0
人生,16,11,10,6,5,5
欣欣,16,6,16,0,10,6
温暖,15,8,10,5,7,3
真的,15,9,14,1,6,8
下辈子,15,5,15,0,10,5
一直,14,5,13,1,9,4
这样,14,3,14,0,11,3
得,14,6,12,2,8,4
微博,14,9,13,1,5,8
愿,14,1,13,1,13,0
开心,14,3,13,1,11,2
你们,14,9,11,3,5,6
最,14,4,11,3,10,1
朋友,14,7,9,5,7,2
在那边,13,5,13,0,8,5
把,12,6,8,3,5,3
离开,12,10,11,1,2,9
善良,12,6,11,1,6,5
那么,12,4,9,3,8,1
成为,12,5,12,0,7,5
努力,12,10,9,3,2,7
东西,12,8,9,3,4,5
因为,12,9,9,3,3,6
生活,11,7,9,2,4,5
可爱,11,2,11,0,9,2
上,11,5,9,2,6,3
陪,11,1,11,0,10,1
时候,11,6,7,4,5,2
难过,11,6,7,4,5,2
这么,11,2,11,0,9,2
觉得,11,8,9,2,3,6
还有,11,8,9,2,3,6
所有,11,6,6,5,5,1
里,10,3,10,0,7,3
痛苦,10,6,9,1,4,5
还是,10,6,7,3,4,3
高三,10,8,6,4,2,4
经历,10,2,10,0,8,2
不会,10,5,7,3,5,2
那个,10,6,8,2,4,4
多,10,6,5,5,4,1
每天,10,8,5,5,2,3
事,10,4,9,1,6,3
比,10,6,7,3,4,3
都是,10,7,7,3,3,4
为什么,10,10,2,8,0,2
不知道,9,7,4,5,2,2
很好,9,8,5,4,1,4
再,9,1,9,0,8,1
另一个,9,1,9,0,8,1
应该,9,4,8,1,5,3
虽然,9,3,7,2,6,1
说,9,5,6,3,4,2
一样,9,4,8,1,5,3
知道,9,4,7,2,5,2
一定要,9,4,9,0,5,4
告诉,9,5,8,1,4,4
好好的,9,3,8,1,6,2
感觉,9,6,4,5,3,1
也是,9,5,6,3,4,2
高考,9,6,7,2,3,4
遇见,8,4,8,0,4,4
死亡,8,2,7,1,6,1
地,8,6,6,2,2,4
当,8,5,7,1,3,4
记得,8,0,8,0,8,0
过去,8,6,5,3,2,3
等,8,6,8,0,2,6
好像,8,5,3,4,2,1
姑娘,8,3,7,1,5,2
选择,8,5,7,1,3,4
“,8,6,4,4,2,2
孩子,8,3,7,1,5,2
时,8,7,5,3,1,4
同学,8,5,7,1,3,4
”,8,6,4,4,2,2
已经,7,3,6,1,4,2
不能,7,5,5,2,2,3
中,7,5,4,3,2,2
考,7,7,6,1,0,6
看着,7,2,7,0,5,2
要开心,7,2,7,0,5,2
学生,7,6,5,2,1,4
幸福,7,3,6,1,4,2
坚持,7,4,5,2,3,2
大,7,2,6,1,5,1
走好,7,0,7,0,7,0
更,7,3,6,1,4,2
心,7,1,7,0,6,1
时间,7,6,2,5,1,1
活着,7,4,4,3,3,1
早点认识,7,0,7,0,7,0
永远,7,3,5,2,4,1
高中,7,6,2,5,1,1
一起,7,2,6,1,5,1
的人,6,3,5,1,3,2
可能,6,2,5,1,4,1
小熊星,6,1,6,0,5,1
总是,6,6,2,4,0,2
学校,6,5,4,2,1,3
最近,6,5,4,2,1,3
吃,6,2,4,2,4,0
清禾,6,1,6,0,5,1
想要,6,4,5,1,2,3
为,6,4,3,3,2,1
难受,6,5,4,2,1,3
以后,6,3,5,1,3,2
穿,6,1,5,1,5,0
来生,6,2,6,0,4,2
一,6,4,4,2,2,2
祝,6,4,4,2,2,2
走,6,4,4,2,2,2
大家,6,3,4,2,3,1
加油,6,4,4,2,2,2
出来,6,6,1,5,0,1
晚,6,0,6,0,6,0
下去,6,4,3,3,2,1
爱,6,4,3,3,2,1
开,6,2,5,1,4,1
像,6,1,6,0,5,1
其实,6,5,6,0,1,5
别人,6,5,2,4,1,1
好累,5,5,1,4,0,1
相信,5,3,4,1,2,2
结果,5,4,2,3,1,1
那些,5,3,4,1,2,2
马上,5,3,4,1,2,2
成功,5,4,4,1,1,3
看完,5,3,5,0,2,3
在那里,5,1,5,0,4,1
该,5,2,4,1,3,1
一年,5,3,4,1,2,2
很多,5,5,3,2,0,3
挺,5,5,3,2,0,3
女孩,5,1,5,0,4,1
女,5,1,4,1,4,0
还在,5,3,4,1,2,2
一些,5,4,1,4,1,0
睡,5,5,2,3,0,2
大学,5,3,5,0,2,3
找,5,3,3,2,2,1
无忧无虑,5,4,5,0,1,4
生日,5,5,1,4,0,1
怎么,5,3,2,3,2,0
心里,5,5,0,5,0,0
思考,5,5,1,4,0,1
不要,5,0,5,0,5,0
与,5,2,4,1,3,1
总能,5,4,1,4,1,0
只,5,4,3,2,1,2
而,5,4,4,1,1,3
安息,5,0,5,0,5,0
发,5,3,4,1,2,2
就要,5,5,4,1,0,4
就是,5,2,3,2,3,0
孤独,5,5,2,3,0,2
折磨,4,2,2,2,2,0
以前,4,1,3,1,3,0
起来,4,4,1,3,0,1
半年,4,4,1,3,0,1
地狱,4,0,4,0,4,0
曾经,4,2,3,1,2,1
动力,4,4,0,4,0,0
一切,4,3,3,1,1,2
考试,4,4,4,0,0,4
!,4,4,1,3,0,1
有人,4,1,3,1,3,0
日子,4,2,4,0,2,2
考研,4,4,2,2,0,2
谢谢,4,3,2,2,1,1
你好,4,1,4,0,3,1
可是,4,3,1,3,1,0
你我,4,3,4,0,1,3
是不是,4,3,2,2,1,1
明年,4,4,2,2,0,2
新年,4,0,4,0,4,0
同样,4,2,3,1,2,1
不同,4,4,1,3,0,1
无法,4,3,4,0,1,3
请,4,1,4,0,3,1
有点,4,4,2,2,0,2
喔,4,1,4,0,3,1
放弃,4,2,4,0,2,2
冰冷,4,1,3,1,3,0
来世,4,0,4,0,4,0
以待,4,3,3,1,1,2
至少,4,3,2,2,1,1
才,4,2,3,0,1,2
天使,4,0,4,0,4,0
乐,4,1,4,0,3,1
下来,4,3,3,1,1,2
这里,4,3,2,2,1,1
遭遇,4,3,4,0,1,3
遗憾,4,1,4,0,3,1
特别,4,2,3,1,2,1
就好,4,2,2,2,2,0
害怕,4,3,4,0,1,3
需要,4,4,4,0,0,4
关注,4,3,2,2,1,1
生命,4,4,2,2,0,2
小禾,4,4,4,0,0,4
久,4,1,4,0,3,1
上海,4,2,4,0,2,2
一次,4,4,0,4,0,0
好想,4,1,4,0,3,1
看看,4,1,4,0,3,1
我女儿,4,4,4,0,0,4
想到,4,2,3,1,2,1
然后,4,2,3,1,2,1
河水,4,1,4,0,3,1
都会,4,3,3,1,1,2
情绪,4,1,3,1,3,0
熬,4,4,2,2,0,2
所以,4,2,4,0,2,2
不了,4,2,3,1,2,1
一天,4,4,0,4,0,0
完,4,3,4,0,1,3
天堂,4,2,4,0,2,2
活下去,3,2,1,2,1,0
考上,3,1,3,0,2,1
它,3,1,2,1,2,0
替,3,1,3,0,2,1
压力,3,2,3,0,1,2
能吃,3,0,3,0,3,0
对待,3,1,2,1,2,0
十八层,3,0,3,0,3,0
能够,3,1,3,0,2,1
小朋友,3,2,1,2,1,0
照顾,3,1,3,0,2,1
冬天,3,0,3,0,3,0
父母,3,3,1,2,0,1
晚上好,3,2,2,1,1,1
带给,3,1,2,1,2,0
带着,3,1,3,0,2,1
昨天,3,3,3,0,0,3
湖水,3,0,3,0,3,0
更多,3,3,3,0,0,3
医院,3,2,3,0,1,2
很爱,3,3,1,2,0,1
只是,3,0,3,0,3,0
自杀,3,3,2,1,0,2
得到,3,1,3,0,2,1
明天,3,1,3,0,2,1
活,3,2,1,2,1,0
如何,3,1,3,0,2,1
恭喜,3,1,1,1,1,0
来看你了,3,1,3,0,2,1
好久,3,2,3,0,1,2
每次,3,1,2,1,2,0
圣诞,3,3,2,1,0,2
好不好,3,3,3,0,0,3
在哪里,3,2,1,2,1,0
来了,3,2,2,1,1,1
地方,3,2,3,0,1,2
或者,3,1,3,0,2,1
所,3,2,3,0,1,2
学,3,3,1,2,0,1
梦到,3,1,3,0,2,1
抱歉,3,1,3,0,2,1
每一个,3,3,1,2,0,1
真的好,3,2,1,2,1,0
睡觉,3,2,3,0,1,2
真的有,3,2,3,0,1,2
抑郁,3,3,1,2,0,1
太阳,3,1,2,1,2,0
站,3,1,3,0,2,1
好吃,3,2,3,0,1,2
撑不住,3,2,1,2,1,0
好大,3,3,2,1,0,2
想你,3,0,3,0,3,0
可恶,3,3,3,0,0,3
有时候,3,3,1,2,0,1
好起来,3,2,1,2,1,0
想哭,3,1,3,0,2,1
好的,3,2,1,2,1,0
绝望,3,3,2,1,0,2
好梦,3,0,3,0,3,0
整个,3,3,1,2,0,1
吖,3,1,3,0,2,1
听,3,1,2,1,2,0
经历过,3,3,2,1,0,2
感到,3,3,2,1,0,2
哥哥,3,0,3,0,3,0
救,3,3,3,0,0,3
期待,3,0,3,0,3,0
第一次,3,1,3,0,2,1
点,3,2,2,1,1,1
  ,3,0,3,0,3,0
们,3,2,3,0,1,2
人间,3,2,3,0,1,2
伤害,3,2,3,0,1,2
身边,3,1,3,0,2,1
世间,3,2,3,0,1,2
不是吗,3,0,3,0,3,0
不再,3,1,2,1,2,0
健康,3,2,1,2,1,0
不过,3,3,1,2,0,1
也不,3,3,2,1,0,2
遇到,3,1,2,1,2,0
也曾,3,3,2,1,0,2
也有,3,3,2,1,0,2
还好吗,3,2,3,0,1,2
一生,3,0,3,0,3,0
逃,3,3,0,3,0,0
不知,3,1,3,0,2,1
作为,3,0,3,0,3,0
降温,3,2,3,0,1,2
这样的,3,1,3,0,2,1
以,3,2,2,1,1,1
下次,3,2,3,0,1,2
一路走好,3,0,3,0,3,0
这种,3,2,2,1,1,1
他人,3,2,3,0,1,2
?,3,3,3,0,0,3
所有人,2,2,0,2,0,0
忘了,2,1,2,0,1,1
生,2,1,2,0,1,1
第一层,2,0,2,0,2,0
忘记,2,0,2,0,2,0
对不起,2,0,2,0,2,0
才能,2,1,1,1,1,0
秋天,2,0,2,0,2,0
对于,2,1,2,0,1,1
休息,2,0,2,0,2,0
笑着,2,1,1,1,1,0
一岁,2,0,2,0,2,0
付出,2,2,2,0,0,2
实在,2,1,2,0,1,1
一层,2,0,2,0,2,0
每个人,2,1,1,1,1,0
或,2,2,1,1,0,1
辛苦,2,0,2,0,2,0
不舍,2,1,1,1,1,0
笑,2,2,0,2,0,0
噩梦,2,1,1,1,1,0
不能死,2,2,1,1,0,1
穿越,2,0,2,0,2,0
生日快乐,2,0,2,0,2,0
灰暗,2,2,1,1,0,1
唉,2,1,1,1,1,0
将,2,2,0,2,0,0
少一点,2,2,0,2,0,0
小裙子,2,0,2,0,2,0
抱抱,2,0,2,0,2,0
结束,2,2,1,1,0,1
心理,2,2,1,1,0,1
吗  ,2,0,2,0,2,0
顺利,2,2,1,1,0,1
相似,2,1,2,0,1,1
周杰伦,2,0,2,0,2,0
向,2,1,1,1,1,0
担心,2,2,1,1,0,1
后悔,2,1,1,1,1,0
后,2,2,1,1,0,1
梦想,2,0,2,0,2,0
深渊,2,1,2,0,1,1
班主任,2,1,1,1,1,0
终于,2,1,1,1,1,0
答应,2,1,2,0,1,1
承受压力,2,1,1,1,1,0
死,2,1,2,0,1,1
算是,2,2,2,0,0,2
类似,2,1,1,1,1,0
甚至,2,1,1,1,1,0
坏,2,2,2,0,0,2
理解,2,2,2,0,0,2
哭,2,2,2,0,0,2
哈哈哈,2,1,1,0,0,1
理由,2,1,1,1,1,0
素不相识,2,0,2,0,2,0
一个月,2,1,1,1,1,0
累,2,2,1,1,0,1
理想,2,0,2,0,2,0
心痛,2,0,2,0,2,0
他,2,0,2,0,2,0
处理,2,1,1,1,1,0
成长,2,2,1,1,0,1
也好,2,1,2,0,1,1
一起去,2,2,2,0,0,2
没能,2,0,2,0,2,0
总,2,2,1,1,0,1
好冷,2,1,2,0,1,1
三十多天,2,2,2,0,0,2
这么多,2,1,2,0,1,1
学姐,2,1,2,0,1,1
为了,2,2,0,2,0,0
这两天,2,1,2,0,1,1
女生,2,1,2,0,1,1
事物,2,1,1,1,1,0
于,2,2,0,2,0,0
世上,2,2,1,1,0,1
想法,2,2,1,1,0,1
惩罚,2,0,2,0,2,0
的确,2,2,1,1,0,1
离,2,1,2,0,1,1
进来,2,1,1,1,1,0
委屈,2,2,1,1,0,1
恨,2,2,1,1,0,1
一遍,2,2,2,0,0,2
姐妹,2,1,2,0,1,1
如此,2,2,1,1,0,1
连,2,1,1,1,1,0
好难,2,1,1,1,1,0
相遇,2,1,2,0,1,1
阳光,2,2,2,0,0,2
这辈子,2,0,2,0,2,0
存在,2,2,2,0,0,2
问题,2,2,1,1,0,1
这次,2,2,1,1,0,1
相识,2,1,2,0,1,1
专业,2,2,1,1,0,1
学渣,2,2,0,2,0,0
想象,2,2,0,2,0,0
一次性,2,2,2,0,0,2
留言,2,1,1,1,1,0
睡着,2,0,2,0,2,0
什么,2,2,1,1,0,1
毕业,2,1,1,1,1,0
留恋,2,2,1,1,0,1
今年,2,2,0,2,0,0
怀疑,2,2,1,1,0,1
头,2,1,2,0,1,1
就可以,2,0,2,0,2,0
宝,2,2,1,1,0,1
社会,2,2,1,1,0,1
念头,2,2,2,0,0,2
祝愿,2,2,1,1,0,1
从头到尾,2,2,2,0,0,2
睡个好觉,2,0,2,0,2,0
愿望,2,1,2,0,1,1
大概,2,1,2,0,1,1
天上,2,0,2,0,2,0
怎么样,2,0,2,0,2,0
还没有,2,1,2,0,1,1
宇宙,2,0,2,0,2,0
还能,2,1,2,0,1,1
没人,2,2,0,2,0,0
天气,2,1,2,0,1,1
太冷,2,1,2,0,1,1
眼泪,2,2,2,0,0,2
感受,2,1,1,1,1,0
感,2,2,1,1,0,1
互相,2,2,0,2,0,0
意义,2,2,2,0,0,2
逃离,2,1,1,1,1,0
跳,2,1,1,1,1,0
深,2,2,1,1,0,1
无助,2,0,2,0,2,0
勇敢,2,1,2,0,1,1
既然,2,0,2,0,2,0
最美,2,0,2,0,2,0
剩下,2,0,2,0,2,0
很多人,2,1,1,1,1,0
热闹,2,2,2,0,0,2
那样,2,1,1,1,1,0
应该是,2,0,2,0,2,0
度过,2,0,2,0,2,0
到底,2,2,0,2,0,0
虽,2,1,2,0,1,1
早安,2,2,2,0,0,2
充满,2,1,1,1,1,0
早点,2,0,2,0,2,0
?,2,1,2,0,1,1
不值得,2,1,1,1,1,0
貌似,2,1,2,0,1,1
有什么,2,2,2,0,0,2
即将,2,2,2,0,0,2
年轻,2,1,2,0,1,1
新的一年,2,0,2,0,2,0
新闻,2,2,1,1,0,1
方式,2,1,2,0,1,1
有机会,2,2,2,0,0,2
平行,2,1,2,0,1,1
无,2,1,2,0,1,1
午好,2,1,2,0,1,1
做不到,2,2,0,2,0,0
不敢,2,2,0,2,0,0
有幸,2,1,2,0,1,1
十几年,2,0,2,0,2,0
做出,2,1,1,1,1,0
艰难,2,2,0,2,0,0
无数次,2,2,1,1,0,1
芋圆,2,0,2,0,2,0
刚刚,2,2,1,1,0,1
刚,2,1,2,0,1,1
?,2,2,2,0,0,2
开始,2,2,2,0,0,2
烦,2,2,0,2,0,0
记挂,2,0,2,0,2,0
11月,2,1,2,0,1,1
全部,2,2,2,0,0,2
昨晚,2,1,2,0,1,1
是什么,2,1,2,0,1,1
),2,2,2,0,0,2
说话,2,2,0,2,0,0
再也,2,1,1,1,1,0
共鸣,2,2,1,1,0,1
该怎么办,2,1,2,0,1,1
内容,2,1,1,1,1,0
(,2,2,2,0,0,2
关于,2,2,2,0,0,2
灵魂,2,1,1,1,1,0
认识,2,1,1,1,1,0
认认真真,2,2,2,0,0,2
冷,2,0,2,0,2,0
明明,2,1,1,1,1,0
那边,2,0,2,0,2,0
时空,2,1,2,0,1,1
分享,2,1,1,1,1,0
出现,2,0,2,0,2,0
热搜,2,0,2,0,2,0
18岁,2,2,2,0,0,2
调查,2,2,0,2,0,0
认真,2,2,0,2,0,0
要是,2,1,2,0,1,1
见,2,0,2,0,2,0
见到,2,1,2,0,1,1
明白,2,2,0,2,0,0
星星,2,0,2,0,2,0
烦恼,2,0,2,0,2,0
脆弱,2,2,1,1,0,1
姜云升,2,2,2,0,0,2
来看,2,0,2,0,2,0
很累,2,2,2,0,0,2
颗,2,1,1,1,1,0
重要,2,1,1,1,1,0
而是,2,1,1,1,1,0
反转,2,2,0,2,0,0
?,2,1,2,0,1,1
本应该,2,1,1,1,1,0
重新,2,2,2,0,0,2
工作,2,2,1,1,0,1
不想,2,1,2,0,1,1
层,2,0,2,0,2,0
叫,2,0,1,0,1,0
清,2,1,2,0,1,1
提前,2,1,2,0,1,1
发生,2,1,1,1,1,0
掉,2,2,2,0,0,2
上面,2,0,2,0,2,0
受,2,2,1,1,0,1
受到,2,0,2,0,2,0
依然,2,0,2,0,2,0
受尽,2,0,2,0,2,0
越来越好,2,2,1,1,0,1
你身边,2,0,2,0,2,0
撑,2,2,0,2,0,0
越,2,2,2,0,0,2
属于,2,1,2,0,1,1
变好,2,1,1,1,1,0
变得,2,1,2,0,1,1
老实,2,2,1,1,0,1
那一刻,2,1,2,0,1,1
清晨,2,0,2,0,2,0
—,2,0,2,0,2,0
体验,2,2,1,1,0,1
°,2,2,2,0,0,2
吃了,2,2,2,0,0,2
帮,2,0,2,0,2,0
厌恶,2,2,2,0,0,2
肩上,2,1,1,1,1,0
猫咪,2,1,2,0,1,1
一下,2,2,2,0,0,2
数学,2,1,2,0,1,1
带走,2,0,2,0,2,0
