Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
你,305,90,229,71,210,19
我,290,202,111,176,85,26
希望,63,24,39,23,38,1
她,54,21,25,21,25,0
人,45,28,11,26,9,2
阿杵,43,18,30,13,25,5
自己,39,21,16,21,16,0
想,38,24,14,23,13,1
活着,36,19,18,17,16,2
我们,34,18,20,13,15,5
世界,33,15,19,13,17,2
可以,31,13,16,12,15,1
这个,30,15,13,15,13,0
说,29,15,13,13,11,2
快乐,28,11,21,6,16,5
朋友,25,9,11,9,11,0
还是,25,13,13,11,11,2
如果,25,12,13,10,11,2
好,24,11,14,8,11,3
他,23,17,8,15,6,2
微博,22,7,14,6,13,1
现在,21,12,9,10,7,2
没有,20,11,9,10,8,1
一个,20,11,9,11,9,0
时候,20,13,7,11,5,2
离开,19,9,10,8,9,1
因为,19,15,5,13,3,2
痛苦,19,16,2,16,2,0
大家,19,11,3,11,3,0
知道,19,10,9,9,8,1
别人,18,12,2,12,2,0
再,18,10,7,10,7,0
回来,17,4,16,1,13,3
祝,17,8,12,4,8,4
真的,16,10,6,9,5,1
就是,16,8,6,8,6,0
里,16,10,6,9,5,1
选择,16,8,11,4,7,4
抑郁症,15,10,2,10,2,0
把,15,9,7,7,5,2
漂亮,15,2,12,2,12,0
看看,15,5,9,5,9,0
不知道,15,11,3,11,3,0
觉得,15,7,6,7,6,0
风,15,1,14,1,14,0
一直,15,6,11,4,9,2
想要,14,9,6,8,5,1
看到,14,4,9,3,8,1
也是,14,9,10,3,4,6
得,13,4,9,4,9,0
很多,13,7,6,5,4,2
往,13,2,11,2,11,0
开心,13,10,5,8,3,2
爱,13,7,5,7,5,0
自杀,13,8,2,8,2,0
不要,12,6,6,5,5,1
不想,12,9,2,9,2,0
好好,12,5,6,5,6,0
今天,12,3,9,3,9,0
等,12,7,6,6,5,1
你们,12,6,1,5,0,1
下辈子,12,4,8,4,8,0
发,12,3,8,3,8,0
一起,11,7,7,4,4,3
生活,11,8,5,6,3,2
“,11,5,6,5,6,0
什么,11,7,3,7,3,0
美好,11,4,7,4,7,0
这么,11,5,5,5,5,0
已经,11,6,6,5,5,1
但是,10,8,4,6,2,2
找到,10,2,7,2,7,0
永远,10,3,7,3,7,0
只是,10,8,6,4,2,4
上,10,4,5,4,5,0
走,10,6,6,4,4,2
死,10,6,2,6,2,0
努力,10,7,4,6,3,1
生命,10,3,4,3,4,0
所有,9,5,4,5,4,0
哪儿,9,1,8,1,8,0
不会,9,6,4,5,3,1
回来了,9,1,9,0,8,1
祝福你,9,1,8,1,8,0
”,9,3,6,3,6,0
留言,9,5,2,5,2,0
解脱,9,3,5,2,4,1
下,9,3,5,2,4,1
以后,9,3,5,2,4,1
一些,9,7,2,7,2,0
自由,9,3,6,3,6,0
评论,9,4,2,4,2,0
不用,8,8,0,8,0,0
方式,8,2,5,2,5,0
不是,8,5,1,5,1,0
坚持,8,8,0,8,0,0
最,8,5,2,5,2,0
峨眉山,8,2,6,1,5,1
找,8,7,2,6,1,1
其实,8,7,1,6,0,1
吹,8,1,7,1,7,0
过去,8,5,2,5,2,0
认识,8,2,3,2,3,0
留下,8,1,6,1,6,0
温暖,8,5,3,5,3,0
一个人,8,8,0,8,0,0
一,8,6,5,3,2,3
难受,8,7,1,7,1,0
结束,8,8,1,7,0,1
每天,8,3,5,3,5,0
还有,8,5,3,5,3,0
孩子,7,2,5,2,5,0
请,7,3,4,3,4,0
寻找,7,2,4,1,3,1
还在,7,3,4,2,3,1
都会,7,2,5,2,5,0
别,7,3,4,3,4,0
感受,7,2,3,1,2,1
好不好,7,3,4,3,4,0
一下,7,3,3,3,3,0
小姐姐,7,3,4,2,3,1
姐姐,7,3,5,1,3,2
终于,7,5,4,3,2,2
所以,7,6,3,4,1,2
妈妈,7,6,1,6,1,0
开始,7,3,3,3,3,0
勇敢,7,6,1,6,1,0
可能,7,4,5,2,3,2
人生,7,6,0,6,0,0
也不,7,2,2,2,2,0
最后,7,2,7,0,5,2
消息,7,1,6,1,6,0
温柔,7,2,5,2,5,0
事,7,3,4,3,4,0
最近,7,4,3,4,3,0
写,7,3,4,3,4,0
善良,6,4,3,3,2,1
羡慕,6,2,5,1,4,1
考研,6,6,3,3,0,3
杵,6,4,4,2,2,2
喜欢,6,3,0,3,0,0
为了,6,4,2,4,2,0
好吗,6,1,5,1,5,0
以,6,1,5,1,5,0
他们,6,5,5,1,1,4
@,6,0,1,0,1,0
内心,6,4,2,4,2,0
死亡,6,3,1,2,0,1
小杵,6,2,5,1,4,1
来看你了,6,2,5,1,4,1
小,6,0,6,0,6,0
抑郁,6,4,2,4,2,0
父母,6,4,0,4,0,0
地,6,2,4,2,4,0
多,6,4,2,4,2,0
随风,6,2,4,2,4,0
决定,6,3,2,3,2,0
好像,6,5,1,5,1,0
甚至,6,3,2,3,2,0
女孩,6,3,2,3,2,0
理解,6,6,0,6,0,0
金顶,6,1,6,0,5,1
感觉,6,5,2,4,1,1
一定,6,5,2,4,1,1
它,5,4,5,0,1,4
那么,5,4,2,3,1,1
不管,5,0,5,0,5,0
安静,5,0,5,0,5,0
吃,5,2,2,1,1,1
难过,5,3,2,3,2,0
只,5,3,2,2,1,1
哪怕,5,4,2,3,1,1
都是,5,3,2,3,2,0
可是,5,2,3,2,3,0
选,5,4,2,3,1,1
后来,5,3,2,3,2,0
世间,5,1,4,1,4,0
那种,5,3,2,3,2,0
后,5,2,1,2,1,0
这样的,5,2,2,2,2,0
这种,5,2,1,2,1,0
回家,5,3,2,2,1,1
人间,5,3,3,2,2,1
好好的,5,2,3,2,3,0
某个,5,2,3,2,3,0
对不起,5,5,0,5,0,0
真的好,5,3,2,3,2,0
留下来,5,1,4,1,4,0
生,5,3,3,2,2,1
猫咪,5,0,5,0,5,0
像,5,1,4,1,4,0
挣扎,5,3,2,2,1,1
无法,5,4,1,4,1,0
晚安,5,3,3,2,2,1
也许,5,3,2,3,2,0
曾经,5,5,1,4,0,1
活,5,4,2,3,1,1
有人,5,4,1,4,1,0
有没有,5,3,0,3,0,0
一点,5,3,1,3,1,0
关注,5,0,5,0,5,0
关心,5,1,4,1,4,0
真正,5,4,1,4,1,0
出生,5,3,3,1,1,2
祝福,5,3,3,1,1,2
少,5,5,0,5,0,0
该,5,1,4,1,4,0
警方,5,3,0,3,0,0
平安,5,2,2,2,2,0
应该,5,2,4,0,2,2
当,5,5,0,5,0,0
