Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
你,201,21,199,2,180,19
我,145,75,117,26,68,49
代代,71,15,69,2,56,13
想你,58,1,58,0,57,1
今天,31,15,25,5,15,10
玫瑰,30,2,27,1,26,1
好,29,12,24,5,17,7
快乐,26,7,25,1,19,6
我们,24,4,22,2,20,2
自己,23,13,18,5,10,8
喜欢,21,10,18,3,11,7
人,19,7,16,3,12,4
新年,18,5,18,0,13,5
开心,17,4,17,0,13,4
希望,17,4,13,3,12,1
还是,16,6,13,3,10,3
微博,15,1,10,1,10,0
晚安,14,5,13,0,8,5
一年,14,2,12,2,12,0
他,13,11,8,5,2,6
画,13,1,13,0,12,1
一直,12,1,12,0,11,1
想,12,3,12,0,9,3
画画,12,4,11,1,8,3
得,12,3,11,0,8,3
一定,12,5,10,2,7,3
真的,11,4,8,2,6,2
姐姐,11,1,11,0,10,1
爱,11,3,11,0,8,3
看到,11,2,11,0,9,2
现在,11,3,8,3,8,0
已经,11,2,11,0,9,2
没有,11,5,8,3,6,2
想起你,10,0,10,0,10,0
这个,10,1,7,1,7,0
世界,10,4,6,4,6,0
/,10,2,4,2,4,0
还有,10,2,9,1,8,1
觉得,9,7,8,1,2,6
永远,9,2,8,1,7,1
离开,9,2,9,0,7,2
生日快乐,9,0,9,0,9,0
在那边,8,1,8,0,7,1
美好,8,0,8,0,8,0
感觉,8,3,8,0,5,3
心,8,2,8,0,6,2
说,8,2,6,1,5,1
重庆,8,2,7,0,5,2
一个,8,1,7,1,7,0
但是,8,5,7,1,3,4
代,8,2,8,0,6,2
真的好,8,2,8,0,6,2
如果,8,4,7,0,3,4
就是,8,3,5,3,5,0
消息,7,1,5,1,5,0
记得,7,0,7,0,7,0
花,7,0,7,0,7,0
方式,7,0,7,0,7,0
都是,7,1,6,1,6,0
发,7,0,7,0,7,0
朋友,7,4,4,3,3,1
时候,7,1,7,0,6,1
还好吗,7,0,7,0,7,0
女,7,4,5,2,3,2
突然,7,2,6,1,5,1
孩子,7,5,5,2,2,3
宝贝,6,0,6,0,6,0
努力,6,5,2,4,1,1
虽然,6,3,5,1,3,2
好不好,6,1,6,0,5,1
不知道,6,3,6,0,3,3
最,6,3,4,2,3,1
最近,6,3,5,1,3,2
知道,6,1,4,0,3,1
成为,6,1,5,1,5,0
每一刻,6,1,3,1,3,0
祝,6,1,5,1,5,0
那么,6,2,5,1,4,1
开,6,0,6,0,6,0
更,6,4,4,2,2,2
男,6,6,2,4,0,2
难过,6,4,3,3,2,1
宝,5,2,5,0,3,2
工作,5,4,1,3,0,1
再,5,1,4,1,4,0
@,5,1,2,1,2,0
:,5,1,2,1,2,0
活着,5,3,5,0,2,3
也是,5,1,5,0,4,1
带,5,2,5,0,3,2
因为,5,1,4,1,4,0
好想,5,1,5,0,4,1
买,5,1,4,1,4,0
温柔,5,0,5,0,5,0
人生,5,2,3,2,3,0
老师,5,1,4,1,4,0
可是,5,3,3,1,1,2
可以,5,1,4,1,4,0
有点,5,3,5,0,2,3
看见,5,0,5,0,5,0
上,5,2,4,1,3,1
机关枪,5,1,2,1,2,0
好像,5,3,2,3,2,0
事情,5,1,4,1,4,0
自勉,5,1,2,1,2,0
好看,5,0,5,0,5,0
不会,5,0,5,0,5,0
以,5,0,5,0,5,0
过得好,4,0,4,0,4,0
还在,4,1,4,0,3,1
!,4,4,4,0,0,4
找,4,2,3,1,2,1
要开心,4,1,4,0,3,1
疫情,4,3,3,1,1,2
小,4,2,4,0,2,2
学,4,2,4,0,2,2
好好,4,1,4,0,3,1
特别,4,2,4,0,2,2
大,4,3,3,1,1,2
怎么,4,1,3,1,3,0
地方,4,1,4,0,3,1
回复,4,0,3,0,3,0
点,4,3,2,2,1,1
啊啊啊,4,3,4,0,1,3
哭,4,0,4,0,4,0
想看,4,0,4,0,4,0
发现,4,1,3,1,3,0
肯定,4,3,4,0,1,3
这么,4,0,4,0,4,0
幸福,4,1,4,0,3,1
一些,4,2,4,0,2,2
昨天,4,2,2,2,2,0
一定要,4,2,2,2,2,0
来看,4,0,4,0,4,0
新,4,1,4,0,3,1
那个,4,1,3,1,3,0
一样,4,0,4,0,4,0
下辈子,4,0,4,0,4,0
时间,4,1,3,1,3,0
长,4,0,3,0,3,0
马上,4,0,4,0,4,0
?,4,2,3,0,1,2
再见,3,0,3,0,3,0
星星,3,0,3,0,3,0
看看,3,3,3,0,0,3
走,3,1,3,0,2,1
别人,3,3,0,3,0,0
所以,3,1,2,1,2,0
你们,3,0,2,0,2,0
等,3,2,2,1,1,1
都会,3,0,3,0,3,0
是不是,3,0,3,0,3,0
一,3,1,2,1,2,0
害怕,3,3,2,1,0,2
代老师,3,2,3,0,1,2
很好,3,2,2,1,1,1
能够,3,1,3,0,2,1
痛苦,3,3,2,1,0,2
好久,3,1,3,0,2,1
大家,3,1,2,1,2,0
一场,3,1,2,1,2,0
遇见,3,2,2,1,1,1
其实,3,1,3,0,2,1
勇气,3,1,3,0,2,1
评论,3,0,3,0,3,0
睡不着,3,2,3,0,1,2
照顾,3,1,3,0,2,1
像,3,0,3,0,3,0
偶尔,3,0,3,0,3,0
才,3,2,2,1,1,1
好累,3,1,3,0,2,1
不是,3,1,2,1,2,0
遗憾,3,0,3,0,3,0
半夜,3,1,3,0,2,1
圣诞,3,1,3,0,2,1
凋零,3,0,3,0,3,0
不要,3,0,3,0,3,0
解决,3,2,1,2,1,0
一起,3,0,3,0,3,0
雯姐,3,1,3,0,2,1
一切,3,1,3,0,2,1
祝福,3,1,3,0,2,1
应该,3,1,2,1,2,0
想念,3,0,3,0,3,0
为什么,3,0,1,0,1,0
天气,3,1,2,1,2,0
翻,3,1,2,1,2,0
最好,3,1,2,1,2,0
生活,3,1,2,1,2,0
也可以,3,2,2,1,1,1
也不,3,2,3,0,1,2
想到,3,0,3,0,3,0
床上,3,0,3,0,3,0
继续,3,1,3,0,2,1
之前,3,0,3,0,3,0
阳光,3,1,2,1,2,0
还没,3,2,2,1,1,1
想要,3,0,3,0,3,0
过去,3,2,2,1,1,1
一下,3,0,3,0,3,0
回来,3,0,2,0,2,0
拥有,3,2,1,2,1,0
我自己,3,3,0,3,0,0
另一种,3,0,3,0,3,0
一个人,3,0,3,0,3,0
2021年,3,0,3,0,3,0
什么,3,3,2,1,0,2
里,3,2,1,1,0,1
爸爸妈妈,3,0,3,0,3,0
东西,3,1,3,0,2,1
只是,3,2,2,1,1,1
开始,3,0,3,0,3,0
头像,3,0,3,0,3,0
关注,3,0,3,0,3,0
稿子,2,0,2,0,2,0
心里,2,0,2,0,2,0
天使,2,0,2,0,2,0
天上,2,0,2,0,2,0
长大,2,1,1,1,1,0
一只,2,0,1,0,1,0
素描,2,2,2,0,0,2
结果,2,2,2,0,0,2
哈哈,2,2,2,0,0,2
结束,2,2,2,0,0,2
哎,2,0,1,0,1,0
漂亮,2,0,2,0,2,0
唉,2,0,2,0,2,0
一点,2,1,1,1,1,0
经常,2,0,2,0,2,0
