Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
你,276,28,274,2,248,26
我,105,24,97,8,81,16
姐姐,59,4,58,1,55,3
希望,51,6,49,2,45,4
粉色,51,9,48,3,42,6
头发,37,7,35,2,30,5
世界,36,3,34,2,33,1
一路走好,33,0,33,0,33,0
漂亮,30,2,30,0,28,2
快乐,27,2,27,0,25,2
真的,27,7,23,4,20,3
愿,26,2,26,0,24,2
幸福,26,2,26,0,24,2
好,23,6,21,2,17,4
没有,22,1,22,0,21,1
自己,21,3,20,1,18,2
这个,21,4,19,2,17,2
人,21,4,20,1,17,3
下辈子,20,1,20,0,19,1
开心,18,1,18,0,17,1
一定要,18,6,17,1,12,5
还是,17,2,17,0,15,2
我们,17,2,16,1,15,1
走,16,5,15,1,11,4
好好的,15,5,15,0,10,5
在那边,15,2,15,0,13,2
天堂,15,0,15,0,15,0
喜欢,15,5,15,0,10,5
不是,15,0,15,0,15,0
认识,15,0,15,0,15,0
再,14,2,12,2,12,0
看到,14,3,14,0,11,3
方式,13,0,13,0,13,0
染,13,2,12,1,11,1
难过,12,5,9,3,7,2
妹妹,12,1,12,0,11,1
小姐姐,12,0,12,0,12,0
好看,12,1,11,1,11,0
现在,12,4,10,2,8,2
来世,12,1,12,0,11,1
自由,11,0,11,0,11,0
优秀,11,0,11,0,11,0
想,11,3,9,2,8,1
可以,11,1,11,0,10,1
一个,11,5,11,0,6,5
永远,11,0,11,0,11,0
里,10,1,10,0,9,1
已经,10,2,9,1,8,1
美好,10,0,10,0,10,0
怎么,10,7,7,3,3,4
为什么,10,3,8,2,7,1
如果,10,1,9,1,9,0
这么,9,2,7,2,7,0
痛苦,9,3,8,1,6,2
以,9,0,9,0,9,0
关注,9,1,9,0,8,1
粉头发,9,0,9,0,9,0
多,9,3,9,0,6,3
该,9,0,9,0,9,0
知道,9,4,8,1,5,3
觉得,9,0,9,0,9,0
抱歉,9,0,9,0,9,0
难受,9,3,8,1,6,2
学姐,9,0,9,0,9,0
一定,9,1,9,0,8,1
离开,8,1,7,1,7,0
他们,8,0,8,0,8,0
一直,8,3,7,1,5,2
这样的,8,0,8,0,8,0
她,8,2,8,0,6,2
女孩,8,1,8,0,7,1
爱,8,0,8,0,8,0
晚安,8,4,8,0,4,4
另一个,8,0,8,0,8,0
美丽,8,1,7,1,7,0
最,8,1,8,0,7,1
因为,8,3,8,0,5,3
?,8,0,8,0,8,0
那些,7,0,7,0,7,0
开,7,0,7,0,7,0
地,7,0,7,0,7,0
宝贝,7,0,7,0,7,0
对不起,7,0,7,0,7,0
网暴,7,2,6,1,5,1
祝,7,2,7,0,5,2
好好,7,1,7,0,6,1
天使,7,0,7,0,7,0
生活,7,2,7,0,5,2
这样,7,3,6,1,4,2
“,7,4,7,0,3,4
消息,7,0,7,0,7,0
但是,7,1,6,1,6,0
你好,7,1,7,0,6,1
一切,7,0,7,0,7,0
勇敢,7,2,6,1,5,1
特别,7,1,6,1,6,0
朋友,7,5,5,2,2,3
时候,6,1,6,0,5,1
”,6,3,6,0,3,3
更,6,2,6,0,4,2
这种,6,0,6,0,6,0
抑郁症,6,2,6,0,4,2
事,6,1,5,1,5,0
事情,6,0,6,0,6,0
一起,6,0,6,0,6,0
乐,6,1,6,0,5,1
才,6,2,6,0,4,2
就好,6,2,6,0,4,2
人间,6,0,6,0,6,0
哭,6,0,6,0,6,0
今天,6,2,6,0,4,2
得,6,1,6,0,5,1
心,6,0,6,0,6,0
不要,5,1,4,1,4,0
选择,5,1,5,0,4,1
很可爱,5,0,5,0,5,0
请,5,3,3,2,2,1
??,5,0,5,0,5,0
漂,5,0,5,0,5,0
很美,5,0,5,0,5,0
哥,5,3,5,0,2,3
来生,5,1,5,0,4,1
可能,5,3,5,0,2,3
真,5,3,5,0,2,3
可惜,5,0,5,0,5,0
一些,5,3,4,1,2,2
自在,5,0,5,0,5,0
都是,5,0,5,0,5,0
没想到,5,0,5,0,5,0
虽然,5,1,5,0,4,1
那个,5,0,5,0,5,0
一样,5,0,5,0,5,0
心里,5,2,5,0,3,2
只有,4,1,3,1,3,0
回来,4,0,4,0,4,0
善良,4,0,4,0,4,0
人性,4,2,4,0,2,2
还在,4,0,4,0,4,0
大家,4,2,2,2,2,0
再见,4,0,4,0,4,0
人生,4,0,4,0,4,0
说,4,2,4,0,2,2
变成,4,0,4,0,4,0
哎,4,2,4,0,2,2
亲爱的,4,0,4,0,4,0
加油,4,0,4,0,4,0
坚持,4,0,4,0,4,0
任何,4,0,4,0,4,0
要开心,4,0,4,0,4,0
后来,4,0,4,0,4,0
社会,4,0,4,0,4,0
走好,4,0,4,0,4,0
就是,4,0,4,0,4,0
