index,评论内容,Year_Month,Tree Hole
1207.0,埋头事业便令大家好过,2022-05,1
265.0,致敬,2020-04,0
1522.0,你好李医生 几天没来看你啦 晚安💤,2020-08,0
700.0,疫情期间唯一一个让我牵肠挂肚祈福的人，李医生，人民不会忘记你，勋章给你，全世界的幸福给你的家人。,2020-09,0
1497.0,李医生坚持住，加油啊🙏,2020-02,0
953.0,李医生，我每天都会来看你，但是很少留言了。因为有很多事情很烦恼，不想说出来的。晚上跟朋友电话聊天，正聊的起劲，突然发现没声儿了。一看手机原来彻底没电了。算了，啥也不想了，睡个好觉。明天继续斗争到底！晚安！好梦！,2021-05,1
1342.0,谢谢,2022-12,0
356.0,李医生，我在医院陪护，好难啊,2020-04,0
809.0,这个可怕的2020要过去了！,2020-12,1
899.0,2021年，要好好照顾自己，要认认真真 对待每一分钟，每一天~,2021-02,1
68.0,晚安，好好睡一觉,2020-02,1
1273.0,有的人真的不配当母亲,2022-09,1
1027.0,此条微博不会再更新 想到你不会再在这世上 好难过,2021-10,0
1090.0,又有些感慨，这里是一个赛博墓地，是你的数字遗产，也成为了大家的树洞。我们来自五湖四海，从事着不一样的工作，过着不一样的生活，但是都在这里相遇，把生活的近况说给你听。世上有那么多悲欢喜乐，希望你能听到，又希望你不要听到。,2021-12,0
1552.0,🙏🙏🙏,2021-10,0
1028.0,好久不见啊，李医生，还有55天就要考试，加油啊,2021-10,1
976.0,又哭了看来我要哭够了心情才好回来,2021-07,1
1039.0,李医生，因幡好美,2021-11,0
813.0,我好累，活下去是为什么了.. 好像只是为了父母了..,2020-12,1
909.0,来看看你,2021-03,0
185.0,李医生，由于疫情全球股市爆跌A股也不例外大跌了。,2020-03,1
1222.0,李医生 武汉今天下大暴雨了,2022-06,1
708.0,如何你能痊愈，今天你可能是第一个授勋的～那天刷微博到半夜也没等到好消息，英雄走好～,2020-09,0
247.0,李医生，下班啦，苏州又下雨了，小江南就是这么软乎乎的，风景圣地。我觉得你这里也要成为敬仰的圣地了，你要考虑收门票么，能挣不少钱，哈哈。像我这种一天来几次，给办年卡么。言归正传，希望这里成为圣地，让一代一代人来到这里，就像去长城去天安门一样，这是心灵的行万里路吧,2020-03,1
35.0,太难过了,2020-02,1
1289.0,李医生，我马上要当爸爸了，希望你在天堂保佑ta顺利出生，我们会告诉ta曾经有一位伟大且勇敢的医生，他是一名真正的英雄！,2022-09,1
971.0,早呀、医生☕️,2021-07,0
79.0,医生，出来辟谣啊。,2020-02,0
122.0,我只是个小角色，我没有救人于水火的能力，也没有说真话的勇气。但从今天起，我至少能做到不与它们同流合污，李医生一路走好[蠟燭],2020-02,1
366.0,你的墓地在哪儿？希望有机会每年清明给你送去炸鸡腿。,2020-04,0
