用户ID,死因,最后一条微博发布时间,评论时间,时间差,评论者姓名,评论内容,Tree_Hole,Whaling_Wall,Not_Related
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 22:10:51,0.0,光明绘海Emi,我朋友有家猫咖，二楼阳台左边门没关，家里有哥哥姐姐四五位，脾气都很好，你记得来,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 16:21:28,0.0,郑先生的灯泡,第一次见你介绍自己说叫“旧书”，听你做草坪上弹我的吉他，我们一起在山礼跳舞，给活动帮忙。。。。。有点恨自己为什么很早就卸载了微博，如果。。。如果昨晚能看到，能给你打个电话。。。。。。。。。 R.I.P 你现在一定是一只小猫咪了，有办法的话和我说一声，我给你带点吃，一定不带圣女果。,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 14:26:33,0.0,搁浅-color,他最后还在祝国家繁荣昌盛，多么温柔的人啊,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 08:48:47,1.0,苗苗是颗星,一个明星能推动毕业论文的查重率降低，但很多生命都推动不了硕博机制的革新,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 10:00:46,0.0,Hallucinebula,阶级社会把人变成鬼。冤有头债有主，希望各位同学闲暇时间读点真正的马哲，找到新的生活的意义并且更有韧性的面对现实困境。各位看客也请积点嘴德，风凉话就免了。,0,0,1
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 13:35:53,1.0,写给李华的一封信,看到这个帖子一下就哭了，六年前的他还是个阳光朝气的男孩,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 11:28:28,0.0,阿呀biubiu,实验设备总有问题，研究下一步怎么做全靠自己查文献，实验数据没有意义，学校不止一个这样的学生，不止一个懒政的导师，看完了也能感同身受，不做研究生了不考公务员也不是没有活路了呀，你已经比很多人都优秀了，如果你还在的话开一个猫咖叭，也会很快乐呀,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 10:53:28,0.0,绝不倒下的学渣,我不知道该说些什么，有些导师不光不配当教师，甚至都不配为人，就这现在教育部还要让导师直接决定博硕士能否毕业，长夜难明，只能自己赶紧毕业赶紧逃吧,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 12:20:57,0.0,看见请提醒我早睡嗷,大一到研三，虽然不是很熟，还是在你开的小卖部买过东西，和你一起经历过复试，看过你们舞蹈团的舞蹈，还是希望你能好吧🙏或者来世压力不这么大吧🙏,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 15:26:38,0.0,年少有为只为你,和你作为室友生活了两年，昨天早上还聊了几句，不敢相信你就这么走了，希望你在另一个世界开心快乐,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 12:41:06,0.0,黑户姐姐不转正,圣女果吃不了就不吃了，实验做不出就不做了，没有什么比活着更重要对不对，出来跟大家报个平安好不好,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 10:48:58,0.0,栗粟分不清楚,我就在学校！我俩一块聊聊啊别啊！我们还能一块约着跳舞呢！回来呀,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 21:48:38,0.0,kimi_TTH,哥们儿，我们学院离你们挺近的。下辈子，为自己活吧，世俗里的所谓成功如果不能带给我们由衷的幸福，那他存在的意义难道只能写在简历上嘛。如果你能拿出离开这个世界的勇气，那你把它用在和自己和解该多好。可能我们终此一生也只是个平庸的人，这个世界一直教我们成功与卓越，却没人教我们如何接受平庸,1,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 16:28:16,0.0,lhlovegy,也许很多人研究生生涯最快乐的时候就是保研（考研）成功的那一天吧,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 22:24:11,0.0,今天我从银行辞职了,你好呀！你这只小猫咪刚刚出生了20个小时，即使什么都不做，依然有人爱着你呦～,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 12:02:27,0.0,破棉裤腰子,“This is real life 都有同样的憧憬 但在绝望时刻周围人却引不起共鸣”,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 11:00:44,0.0,rich_healthy,今年疫情，把所有人弄得都压力山大。早上看到化工楼C座封了，就知道可能出了什么事情，，，不知道说什么，一路走好。,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 15:22:51,0.0,Nov_rabbit,人已经走了 评论区说他一时矫情的 我只想说 你没经历过别人那么多的苦 就妄下评论  你觉得你的人生以后会好过吗？,0,0,1
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 10:42:25,0.0,_OreOreOreo_,下辈子，愿你身体无恙 无忧无思 无拘无束 自由自在，去做自己想做的事，看自己想看的风景，有人安慰，有人疼,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 14:36:32,0.0,小牛肉干真好吃,对了，最近上映的电影看了么？我跟你说我可愿意喝酒了，哪天没事我们一起喝点呗？你当我求你了，这个坎过不去我们去他妈的不过了行吗,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 15:17:58,0.0,Cyndy_boy,这不是个例，这是全国大部分研究生的现状，学院、老师把压力全部丢给学生，啥都不管，毕业条件苛刻，专硕毕业条件必须让发三区以上sci或中文核心期刊，同时还要有专利或学科竞赛获奖，能完整的读完三年顺利毕业真的是要靠自己内心足够强大，克服重重困难，能熬住，也算是一种成功。逝者安息,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 15:10:56,0.0,我是大眼蛙,作为一个陌生的师姐，今天为你流了很多眼泪，完全理解你的感受，你是一个聪明努力又心思纯净的孩子，希望你此时已经在一个美好的世界无忧无虑的撒欢了,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 13:29:06,0.0,小心心_哼,以前和几个舞团的姐妹嫌弃你裤子丑，一直商量给你买条好看点的裤子当礼物，后来忙忘了，没想到再也没有机会了……,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 13:44:58,0.0,大概是一只废CC了,打了很多字又删了 希望你未来的任何时候 都能快乐 希望我也是,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 12:08:29,0.0,珛芪,同学 千万别  想想你的父母  我前几天参加了一场葬礼  川大的那件事情  葬礼上除了父母哭的撕心裂肺外什么都改变不了  他妈妈哭晕好多次 期间一直在高血压吸氧急救  看的我们都特别特别难受    很惋惜  很难过  生命只有一次  真的要珍惜啊,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 00:00:27,0.0,杀鱼蜡交,其实很多人并不适合读研做科研，只不过面对着就业难和学历等问题，不得不去读研，想着毕业之后能获得一份不错的工作，到头来却是一窝蜂跑去考公考编，对于那些没有科研能力的，或者并不感兴趣的，又何必逼着去搞科研？中国的研究生分为专硕和学硕，试问又有多少大学把这两类分清培养了？,0,0,1
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 10:44:01,0.0,今天不是鱼是小锦鲤,你要不把我带走吧,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 22:03:22,0.0,今天随便改一个,师兄 给你看学校里的猫猫 你一定也可可爱爱的 终于可以懒洋洋什么都不想的睡觉了,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 13:06:07,0.0,生命因你而火热E,读研这三年是最不快乐的三年，好在都过去了，希望评论里的朋友多撑一撑，生活还是值得的，跨过这道坎（特别是理工科的朋友，哪怕是数据水过毕业），会有更丰富更精彩的生活的，评论里的朋友们加油,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 10:21:52,1.0,小张同学想吃肉,是什么让我我连看到一个到死都在祝国家繁荣昌盛的研究生离开都这么淡然了呢，就流了几滴眼泪，又继续拿着笔准备考研了。哥，大连今天天冷了，多穿点,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 11:52:01,1.0,寒闻冬,多希望她在一点五十九的时候累得睡着了，第二天早上从实验室的桌子上醒来的时候发现善良的同学或是耐心的导师帮她披了一件衣服，然后抹抹眼角的泪痕删掉备忘录里天真温柔的遗言，站起来推开窗嗅到清晨第一缕阳光的美好，再到满是烟火味的食堂里笑着跟身边的同伴讲述她夜里的一场可笑噩梦。,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 13:10:31,0.0,L_纸巾,评论看得我好难过，如果有任何人，任何人觉得自己压力很大，想要找人说话的时候，都可以来找我，我看到了肯定会陪你聊天，任何人，任何时候。,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 12:27:41,0.0,参军读博年入一万,曾经我也觉得什么事非要寻死，现在我真的理解了,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 13:10:09,0.0,夜雨立海楼,师兄，我是建工的师弟，最近也遇到了一点小困难，咱们别想不开，大不了退学回家舒舒服服地洗个澡睡一觉，如果你还能看到我这个评论，希望你能联系联系我，我们互相聊聊，吐吐槽，也许就能过去呢，我住在北山，离西山有点远，但是我不怕远的，我可以去找你，求求你了，别想不开，来联系我吧！,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 12:33:40,0.0,Incloudy,下辈子做一只无忧无虑的猫咪吧,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 17:46:12,0.0,拂柳微失,看到朋友圈很多舞团的人都在缅怀你，说你是一个内向但是排练特别认真的人。虽然不曾交集，但是我相信你一定是个特别好的人……痛苦仿佛能感同身受，好遗憾不能曾经成为朋友，在你撑不下去的时候和你聊聊天，鼓鼓气。如果真的有下辈子，希望你的愿望能实现，白天晒太阳，夜里也有光。学长一路走好🙏,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 00:24:26,0.0,辣不辣的大头菜,呐～看见没～我也捐了一块钱啦，替你许愿下次让你做猫猫！没找到合适的给猫猫的～豹子也差不多呢！,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 18:11:27,0.0,头上不太绿,圣女果不爱吃就不要吃了，实验做不好那就不做了，国考太难我们就不考了…压力很大放不下那就解脱吧，那以后一定要做自己想做的。,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 16:40:38,0.0,XXYYYGGGGGG,我已经因为这条消息抑郁了一天了,1,0,0
